image url,Manual validation,microsoft azure labels,gluon labels,google label description,google object detection
https://inaturalist-open-data.s3.amazonaws.com/photos/14228/medium.jpg?1444286345,True,"['grass', 'outdoor', 'animal', 'mammal', 'lagomorph', 'standing', 'field', 'rabbit', 'lush']","['wood rabbit', 'hare']","['Rabbit', 'Plant', 'Wood', 'Twig', 'Rodent', 'Water', 'Grass', 'Fawn', 'Rabbits and Hares', 'Terrestrial animal']",['Rabbit']
https://static.inaturalist.org/photos/15928/medium.jpg?1444289661,True,"['grass', 'lagomorph', 'animal', 'outdoor', 'mammal', 'rabbit', 'rabbits and hares', 'eastern cottontail', 'mountain cottontail', ""audubon's cottontail"", 'hare', 'domestic rabbit', 'lower keys marsh rabbit', 'green', 'brown hare', 'laying', 'snowshoe hare', 'wood rabbit', 'bunny']","['wood rabbit', 'hare']","['Plant', ""Audubon's Cottontail"", 'Rabbit', 'wood rabbit', 'Mountain Cottontail', 'Rabbits and Hares', 'Grass', 'Lower Keys Marsh Rabbit', 'Fawn', 'Terrestrial animal']",['Rabbit']
https://inaturalist-open-data.s3.amazonaws.com/photos/77641/medium.JPG?1401759725,True,"['grass', 'outdoor', 'plant', 'animal', 'field', 'black', 'mammal']","['hare', 'wood rabbit']","['Dog breed', 'Plant', 'Terrestrial animal', 'Grass', 'Tail', 'Snout', 'Groundcover', 'Grassland', 'Sporting Group', 'Canidae']",['Rabbit']
https://inaturalist-open-data.s3.amazonaws.com/photos/92946/medium.jpg?1401764865,True,"['grass', 'outdoor', 'animal', 'mammal', 'rabbit', 'squirrel', 'mouse', 'field', 'rabbits and hares', 'marsupial', 'domestic rabbit', 'mountain cottontail', ""audubon's cottontail"", 'pig', 'eastern cottontail', 'hare', 'hamster', 'kangaroo', 'laying', 'lower keys marsh rabbit', 'ground squirrels', 'rat', 'snowshoe hare', 'terrestrial animal', 'grey squirrel', 'brown hare', 'wood rabbit', 'rodent']","['wood rabbit', 'hare', 'wallaby']","['Rodent', 'Grass', 'Fawn', 'Rabbits and Hares', 'Groundcover', 'Rabbit', 'Terrestrial animal', 'Rat', 'Mouse', 'Snout']","['Animal', 'Mouse']"
https://static.inaturalist.org/photos/116388/medium.jpg,False,"['ground', 'outdoor', 'animal', 'curb']",['leatherback turtle'],"['Road surface', 'Grey', 'Asphalt', 'Tar', 'Sidewalk', 'Road', 'Grass', 'Concrete', 'Soil', 'Wood']","['Animal', 'Moths and butterflies']"
https://static.inaturalist.org/photos/116392/medium.jpg,False,"['ground', 'outdoor', 'fish', 'soil']",['fiddler crab'],"['Plant', 'Terrestrial animal', 'Terrestrial plant', 'Bedrock', 'Grass', 'Soil', 'Litter', 'Waste', 'Carmine', 'Rock']",['Animal']
https://inaturalist-open-data.s3.amazonaws.com/photos/127910/medium.jpg,False,"['grass', 'outdoor', 'grassland']",['alp'],"['Groundcover', 'Flooring', 'Grass', 'Grassland', 'Meadow', 'Landscape', 'Prairie', 'Field', 'Pasture', 'Soil']",[]
https://inaturalist-open-data.s3.amazonaws.com/photos/141605/medium.JPG,True,"['grass', 'animal', 'outdoor', 'mammal', 'lagomorph', 'rabbit', 'field', ""audubon's cottontail"", 'mountain cottontail', 'eastern cottontail', 'hare', 'rabbits and hares', 'bunny', 'brown hare', 'lower keys marsh rabbit', 'black tailed jackrabbit', 'domestic rabbit']",['hare'],"['Plant', 'Rabbit', 'Mountain Cottontail', 'Rabbits and Hares', ""Audubon's Cottontail"", 'Grass', 'wood rabbit', 'Fawn', 'Groundcover', 'Lower Keys Marsh Rabbit']",['Rabbit']
https://inaturalist-open-data.s3.amazonaws.com/photos/152740/medium.jpg?1444547821,True,"['outdoor', 'tree', 'grass', 'animal', 'field', 'mammal', 'standing', 'bird', 'wildlife', 'plant', 'wild', 'lush', 'distance']","['hare', 'wood rabbit']","['Plant', 'Plant community', 'Ecoregion', 'Flower', 'Nature', 'Leaf', 'Branch', 'Sunlight', 'Vegetation', 'Natural landscape']",['Rabbit']
https://inaturalist-open-data.s3.amazonaws.com/photos/196377/medium.JPG?1351725183,True,"['animal', 'bird', 'black', 'laying', 'carnivore', 'dark']","['killer whale', 'leatherback turtle']","['Felidae', 'Dog breed', 'Carnivore', 'Small to medium-sized cats', 'Cloud', 'Asphalt', 'Sky', 'Fawn', 'Whiskers', 'Grass']","['Rabbit', 'Animal']"
