image url,Manual validation,microsoft azure labels,gluon labels,google label description,google object detection
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/172465428_873708153190667_5587932844023739616_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=TmQ0c1g_KdMAX-AGQ6D&edm=ABZsPhsAAAAA&ccb=7-4&oh=99a13c440f08e0f099a5882de7c6b80c&oe=60997EDF&_nc_sid=4efc9f,False,"['food', 'plate', 'fast food', 'baked goods', 'piece', 'recipe', 'panko', 'bread', 'dessert', 'korokke', 'fritter', 'fried food', 'meatball', 'croquette', 'deep frying', 'pakora', 'arancini', 'hushpuppy', 'delicious', 'cutlet', 'karaage', 'falafel', 'rissole', 'menchi-katsu', 'fishcake', 'fried chicken', 'milanesa', 'crispy fried chicken', 'cotoletta', 'cheese', 'clam cake', 'schnitzel', 'dish', 'frying', 'kofta', 'tasty', 'tonkatsu', 'snack', 'baking', 'meat', 'meal', 'square']","['plate', 'meat loaf']","['Food', 'Ingredient', 'Recipe', 'Cuisine', 'Dish', 'Tableware', 'Cutlet', 'Fritter', 'Fried food', 'Produce']",['Food']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/172123110_4041385942622656_8712172739258816071_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=Gmw9G0klyAAAX_BPlSm&edm=ABZsPhsAAAAA&ccb=7-4&oh=d01f7aa89db89aa9c4aef5e4cd58602e&oe=6098EE6B&_nc_sid=4efc9f,True,"['indoor', 'animal', 'cat', 'rabbit']","['wood rabbit', 'hare']","['Insect', 'Grey', 'Whiskers', 'Fawn', 'Terrestrial animal', 'Moths and butterflies', 'Tail', 'Snout', 'Wood', 'Marsupial']",['Animal']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/171656971_4058021737566215_2871887414330972159_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=X89NZ5fEAJcAX--svkt&edm=ALQROFkAAAAA&ccb=7-4&oh=25d285a20608972593c652512d8e3a2b&oe=6099C70E&_nc_sid=30a2ef&ig_cache_key=MjU1MDgwMDg4MTAxMzg3Mjc5OA%3D%3D.2-ccb7-4,True,"['cat', 'indoor', 'white', 'lagomorph', 'laying', 'mammal', 'bunny', 'animal', 'rabbit', 'rabbits and hares', 'hamster', 'domestic rabbit', 'mouse']",['Angora'],"['Rabbit', 'Ear', 'Rabbits and Hares', 'Whiskers', 'Domestic rabbit', 'Snout', 'Flooring', 'Fur', 'Event', 'Snowshoe hare']",['Rabbit']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/173170119_961146991089742_7740228781185226707_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=110&_nc_ohc=-s3qxDUlkbAAX_LNMyL&edm=ABZsPhsAAAAA&ccb=7-4&oh=030fbf353ef4f25dbdd06c3dfdc023a7&oe=609B95B9&_nc_sid=4efc9f,True,"['rabbit', 'cat', 'indoor', 'mammal', 'animal', 'rabbits and hares', 'domestic rabbit', 'bunny', 'lagomorph']",['Angora'],"['Rabbit', 'Rabbits and Hares', 'Ear', 'Domestic rabbit', 'Whiskers', 'Fawn', 'Hare', 'Snout', 'Comfort', 'Terrestrial animal']",['Animal']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/172905360_269027121584201_7418660290746289462_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=wtFdRbPqsJEAX9bzQUp&edm=ABZsPhsAAAAA&ccb=7-4&oh=d984ba70ee14b71411a8dd08f66e246a&oe=609912AF&_nc_sid=4efc9f,True,"['indoor', 'animal', 'person']","['fox squirrel', 'mongoose']","['Comfort', 'Wood', 'Hat', 'Fawn', 'Dog breed', 'Small to medium-sized cats', 'Whiskers', 'Snout', 'Flooring', 'Rabbits and Hares']","['Animal', 'Person']"
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/172074353_514764256216501_1136545673554528096_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=101&_nc_ohc=n9jUsFzkt04AX8uO4eW&edm=ABZsPhsAAAAA&ccb=7-4&oh=0c7935aaad92e2b271f690177776b767&oe=609BE511&_nc_sid=4efc9f,False,"['tableware', 'coffee']",['tray'],"['Wood', 'Drinkware', 'Dishware', 'Serveware', 'Hardwood', 'Font', 'Tableware', 'Wood stain', 'Drink', 'Event']","['Tableware', 'Food']"
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/173086091_464823991246860_7734022227704039377_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=FK9Eo74kR5AAX8DHgVD&edm=ALQROFkAAAAA&ccb=7-4&oh=978be455d2fc22db339de07a9fafe0dc&oe=6099918B&_nc_sid=30a2ef&ig_cache_key=MjU1MDgwMDM2NDQ0MzM2NTIzMA%3D%3D.2-ccb7-4,True,"['cat', 'indoor', 'animal', 'mammal', 'bunny', 'rabbit', 'hamster', 'animal shelter', 'lagomorph', 'mouse', 'pet supply', 'cage', 'rodent']","['Angora', 'guinea pig', 'wombat']","['Vertebrate', 'Rabbit', 'Pet supply', 'Mesh', 'Grass', 'Terrestrial animal', 'Snout', 'Animal shelter', 'Rabbits and Hares', 'Cage']",['Rabbit']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/171655768_1070285376830586_2997520189368325112_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=I6KLgBjVsW8AX_o9cii&edm=ALQROFkAAAAA&ccb=7-4&oh=f511b6a78a0f2d01bfd501720df5f458&oe=609ACC3A&_nc_sid=30a2ef&ig_cache_key=MjU1MDgwMDI5MTU5NjY1MDMyMg%3D%3D.2-ccb7-4,True,"['grass', 'person', 'animal', 'outdoor', 'pig', 'fuzzy', 'hand', 'suidae', 'mammal', 'gray', 'grey']",['koala'],"['Nature', 'Organism', 'Gesture', 'Adaptation', 'Mole', 'Snout', 'Terrestrial animal', 'Bat', 'Wildlife', 'Grass']",['Animal']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/172085206_280548156894745_7076566563765717439_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=101&_nc_ohc=AxHI-chJTwgAX9vu_a_&edm=ALQROFkAAAAA&ccb=7-4&oh=18748d3d1cc310b65c62923841c05d9b&oe=609BBA69&_nc_sid=30a2ef&ig_cache_key=MjU1MDgwMDIxNDM2MTgwNTAwMQ%3D%3D.2-ccb7-4,False,"['text', 'dog', 'carnivore', 'animal']","['Newfoundland', 'Labrador retriever']","['Dog', 'Vertebrate', 'Dog breed', 'Carnivore', 'Liver', 'Working animal', 'Font', 'Companion dog', 'Poster', 'Snout']","['Packaged goods', 'Sunglasses', 'Animal']"
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/171733052_493186832120091_6638517044978097361_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=RUkRCMxDyBIAX9qMupT&edm=ABZsPhsAAAAA&ccb=7-4&oh=318592c88fb940bb6a6585314687a84b&oe=60776E1F&_nc_sid=4efc9f,True,"['cat', 'indoor', 'mammal', 'animal', 'black', 'carnivore', 'rabbit', 'bunny', 'cute', 'lagomorph']","['Angora', 'hare']","['Rabbit', 'Fawn', 'Rabbits and Hares', 'Pet supply', 'Tableware', 'Whiskers', 'Animal feed', 'Small to medium-sized cats', 'Terrestrial animal', 'Felidae']","['Rabbit', 'Bowl']"
