image url,,microsoft azure labels,gluon labels,google label description,google object detection
https://live.staticflickr.com/65535/50947270606_5a871aff50_c.jpg,,"['outdoor', 'person', 'ground', 'clothing', 'woman', 'fashion accessory', 'human face', 'girl', 'fashion', 'jacket', 'street fashion', 'coat', 'dress', 'handbag']","['jean', 'miniskirt']","['Sky', 'Smile', 'Tartan', 'Street fashion', 'Flash photography', 'Fashion', 'Sleeve', 'Standing', 'Waist', 'Travel']","['Person', 'Outerwear', 'Bag', 'Luggage & bags']"
https://live.staticflickr.com/65535/49862921246_c8b72ee531_o.jpg,,"['tree', 'nature', 'outdoor', 'sky', 'rainbow', 'forest', 'wooded', 'lush', 'hillside']",['alp'],"['Rainbow', 'Sky', 'Plant', 'Ecoregion', 'Nature', 'Leaf', 'Natural environment', 'Tree', 'Natural landscape', 'Biome']",[]
https://live.staticflickr.com/65535/50962175807_2a04e6afea_c.jpg,,"['grass', 'tree', 'outdoor', 'sky', 'field', 'autumn', 'nature', 'fall', 'landscape', 'green', 'plant', 'grassy', 'lush', 'pasture', 'plain', 'wooded']","['worm fence', 'barn']","['Plant', 'Sky', 'Natural landscape', 'Tree', 'Grass', 'Groundcover', 'Shrub', 'Landscape', 'Grassland', 'Meadow']",[]
https://live.staticflickr.com/65535/51090751146_4633e188d6_o.jpg,,"['person', 'woman', 'christmas tree', 'human face', 'smile', 'christmas', 'fashion accessory', 'smiling', 'clothing', 'lady', 'posing']",[],"['Smile', 'Lip', 'Organ', 'Fashion', 'Textile', 'Gesture', 'Happy', 'Headgear', 'Eyelash', 'Flash photography']","['Person', 'Clothing']"
https://live.staticflickr.com/65535/51104365326_a178e00787_o.jpg,,"['text', 'screenshot', 'design', 'indoor', 'electronics', 'graphic', 'internet']",[],"['Output device', 'Product', 'Lcd projector', 'Smile', 'Video projector', 'Gadget', 'Blazer', 'Suit', 'Engineering', 'Home appliance']","['Tie', 'Person', 'Coat', 'Packaged goods', 'Home appliance']"
https://live.staticflickr.com/65535/51108806185_5e386fd77b_o.jpg,,"['painting', 'drawing', 'cartoon', 'child art', 'accessory']",[],"['Hair', 'Neck', 'Sleeve', 'Waist', 'Grey', 'Beige', 'T-shirt', 'Hat', 'Sleeveless shirt', 'Art']",['Packaged goods']
https://live.staticflickr.com/65535/51101568485_f5bc606f86_o.jpg,,"['outdoor', 'tree', 'plant', 'person', 'root', 'prop root', 'sandy']",[],"['Plant community', 'Wood', 'Twig', 'Trunk', 'Grass', 'Terrestrial plant', 'Root', 'Forest', 'Bedrock', 'Woodland']",['Person']
https://live.staticflickr.com/65535/51092286187_a10db62004_c.jpg,,"['bird', 'water', 'outdoor', 'goose', 'animal', 'water bird', 'aquatic bird', 'lake', 'waterfowl', 'duck', 'wildlife', 'swan', 'ducks', 'geese and swans', 'seaduck', 'mallard', 'pond', 'swimming']","['drake', 'red-breasted merganser']","['Water', 'Bird', 'Lake', 'Fluid', 'Beak', 'Body of water', 'Ducks, geese and swans', 'Feather', 'Waterfowl', 'Grass family']",['Duck']
https://live.staticflickr.com/65535/51100569730_9757df0dea_c.jpg,,"['outdoor', 'road', 'building', 'street', 'bus', 'way', 'vehicle', 'land vehicle', 'city', 'sidewalk', 'driving', 'text', 'red', 'traveling']","['trolleybus', 'streetcar']","['Bus', 'Sky', 'Vehicle', 'Building', 'Window', 'Cloud', 'Motor vehicle', 'Mode of transport', 'Tour bus service', 'Electricity']","['Bus', 'Person']"
https://live.staticflickr.com/65535/51106217054_65fc687dc9_o.jpg,,"['ground', 'outdoor', 'animal', 'bird', 'gallinaceous bird', 'chicken', 'standing', 'brown', 'phasianidae', 'galliformes']",['hen'],"['Bird', 'Phasianidae', 'Chicken', 'Beak', 'Comb', 'Galliformes', 'Poultry', 'Fowl', 'Livestock', 'Terrestrial animal']","['Chicken', 'Animal']"
https://live.staticflickr.com/65535/50137240127_b3f4a82cdd_o.jpg,,"['LEGO', 'lego', 'toy', 'statue', 'weapon']","['holster', 'rifle', 'revolver', 'assault rifle', 'bow']","['Toy', 'Lego', 'Toy block', 'Machine', 'Military robot', 'Brick', 'Fictional character', 'Metal', 'Light fixture', 'Wood']",['Lighting']
https://live.staticflickr.com/65535/51010564073_a3f3d6b5bf_c.jpg,,"['sky', 'water', 'outdoor', 'lake', 'cloud', 'landscape', 'sunrise', 'sun', 'nature', 'sunset', 'traveling', 'distance', 'clouds', 'shore']",['lakeside'],"['Cloud', 'Sky', 'Water', 'Water resources', 'Atmosphere', 'Afterglow', 'Body of water', 'Sunlight', 'Dusk', 'Lake']",[]
https://live.staticflickr.com/65535/51110229910_caa1b4fc73_o.jpg,,"['text', 'person', 'suit', 'dress', 'man', 'indoor', 'smile', 'standing', 'bride', 'wedding dress', 'flower', 'curtain', 'wedding', 'clothing', 'posing']",['groom'],"['Clothing', 'Smile', 'Tie', 'Coat', 'Purple', 'Happy', 'Suit', 'Flash photography', 'Real estate', 'Blazer']","['Tie', 'Person', 'Dress']"
https://live.staticflickr.com/65535/50998170798_31cbf41426_o.jpg,,"['tree', 'outdoor', 'person', 'footwear', 'clothing', 'ground', 'shorts', 'man', 'trousers', 'sunglasses']","['plunger', 'ballplayer']","['Cap', 'Tree', 'Standing', 'Asphalt', 'Gesture', 'Street fashion', 'Hat', 'Leisure', 'Road surface', 'Headgear']","['Pants', 'Person', 'Shorts', 'Top']"
https://live.staticflickr.com/65535/51108242579_1983fd4e0b_o.jpg,,"['person', 'clothing', 'fashion accessory', 'human face']",['gasmask'],"['Picture frame', 'Shoulder', 'Vision care', 'Dress shirt', 'Eyewear', 'Neck', 'Sleeve', 'Street fashion', 'Waist', 'Collar']","['Pants', 'Person', 'Bag', 'Top', 'Picture frame', 'Luggage & bags', 'Hat']"
https://live.staticflickr.com/65535/50721092181_2f0e2060c8_c.jpg,,"['sunset', 'sky', 'outdoor', 'water', 'nature', 'cloud', 'sun', 'landscape', 'tree', 'lake', 'setting', 'clouds', 'cloudy', 'distance']","['seashore', 'lakeside']","['Sky', 'Cloud', 'Atmosphere', 'Light', 'Natural landscape', 'Orange', 'Afterglow', 'Red sky at morning', 'Dusk', 'Plain']",[]
https://live.staticflickr.com/65535/51095987027_c5f96c6bdc_o.jpg,,"['person', 'tree', 'outdoor', 'smile', 'clothing', 'human face', 'woman', 'girl', 'fashion accessory', 'dress', 'posing', 'stone']","['sarong', 'bonnet']","['Clothing', 'Hair', 'Smile', 'Jeans', 'Leg', 'People in nature', 'Flash photography', 'Textile', 'Waist', 'Street fashion']","['Person', 'Overall', 'Hat', 'Top']"
https://live.staticflickr.com/65535/50177142632_04e6e8c51c_o.jpg,,"['sky', 'water', 'outdoor', 'beach', 'person', 'lake', 'nature', 'girl', 'clothing', 'woman', 'shore', 'cloud']",['seashore'],"['Water', 'Sky', 'Cloud', 'Flash photography', 'Plant', 'Lake', 'Wood', 'Horizon', 'Beach', 'Tree']",['Person']
https://live.staticflickr.com/65535/51104796590_df33f44156_c.jpg,,"['water', 'outdoor', 'sky', 'ocean', 'sea', 'beach']",['pirate'],"['Water', 'Sky', 'Lake', 'Cross', 'Boats and boating--Equipment and supplies', 'Horizon', 'Statue', 'Art', 'Sculpture', 'Seabird']",[]
https://live.staticflickr.com/65535/51015185261_f159676153_o.jpg,,"['outdoor', 'sky', 'tree', 'lake', 'water', 'cloud']","['boathouse', 'mobile home']","['Water', 'Sky', 'Plant', 'Building', 'Cloud', 'Natural landscape', 'Tree', 'Lake', 'Street light', 'House']",['Bird']
https://live.staticflickr.com/65535/51109088121_dd01d5d7e2_c.jpg,,"['outdoor', 'water', 'grass', 'sky', 'nature', 'fog', 'landscape', 'tree', 'reflection', 'lake', 'cloud', 'pond', 'day']",['lakeside'],"['Water', 'Cloud', 'Sky', 'Plant', 'Atmosphere', 'Water resources', 'Tree', 'Natural landscape', 'Wood', 'Lake']",[]
https://live.staticflickr.com/65535/51107155263_b1b5d4e766_o.jpg,,"['vehicle', 'sky', 'land vehicle', 'text', 'transport', 'auto part']",['crane'],"['Sky', 'Vehicle', 'Car', 'Motor vehicle', 'Hood', 'Tire', 'Automotive mirror', 'Automotive design', 'Automotive lighting', 'Automotive tire']","['Wheel', 'Car', 'Person']"
https://live.staticflickr.com/65535/51092878822_bf6c7d69c4_o.jpg,,"['sky', 'outdoor', 'flower', 'mountain', 'water', 'cloud', 'nature', 'landscape', 'lake', 'plant', 'surrounded', 'highland']","['valley', 'alp']","['Flower', 'Water', 'Plant', 'Mountain', 'Sky', 'Cloud', 'Ecoregion', 'Natural landscape', 'Grass', 'Body of water']",[]
https://live.staticflickr.com/65535/51000407635_80f041c451_o.jpg,,"['animal', 'bird', 'wildlife', 'reptile', 'fauna', 'close']",['ptarmigan'],"['Eye', 'Organism', 'Reptile', 'Bird', 'Adaptation', 'Terrestrial animal', 'Natural landscape', 'Snout', 'Terrestrial plant', 'Grass']",['Bird']
https://live.staticflickr.com/65535/51067188008_2160092e52_o.jpg,,"['bird', 'sitting', 'animal', 'outdoor', 'perched', 'sparrow', 'wooden', 'railing', 'wildlife', 'standing', 'rail', 'birdwatching', 'ledge']","['brambling', 'junco']","['Bird', 'Fox Sparrow', 'Wood', 'Beak', 'Twig', 'Songbird', 'Song Sparrow', 'Feather', 'Perching bird', 'Finch']",['Sparrow']
https://live.staticflickr.com/65535/50998343168_798d790e13_o.jpg,,"['outdoor', 'tree', 'hiking', 'person', 'clothing', 'man', 'plant', 'nature', 'trail', 'jungle', 'forest', 'wooded', 'wood']",['mountain bike'],"['Plant', 'Plant community', 'Leaf', 'Fedora', 'People in nature', 'Natural landscape', 'Tree', 'Hat', 'Wood', 'Terrestrial plant']","['Hat', 'Person', 'Footwear', 'Pants']"
https://live.staticflickr.com/65535/51006488701_19c83607f7_c.jpg,,"['text', 'vehicle']","['mobile home', 'recreational vehicle']","['Sky', 'Asphalt', 'Pink', 'Rolling', 'Rectangle', 'Gas', 'Magenta', 'Landscape', 'Paint', 'Machine']",['Packaged goods']
https://live.staticflickr.com/65535/51095030692_743a88a4f9_o.jpg,,"['outdoor', 'text', 'drawing', 'sketch', 'pattern', 'monochrome', 'black and white', 'art']",['tile roof'],"['Rectangle', 'Sculpture', 'Font', 'Facade', 'Art', 'Symmetry', 'Metal', 'Pattern', 'Relief', 'History']",['Building']
https://live.staticflickr.com/65535/51109776616_f983b0783f_c.jpg,,['window'],[],"['Building', 'Window', 'Wood', 'Fixture', 'Composite material', 'House', 'Facade', 'Concrete', 'Siding', 'Shade']",['Window']
https://live.staticflickr.com/65535/51108876987_4bde39d4d2_c.jpg,,"['person', 'art', 'cartoon', 'screenshot', 'illustration', 'accessory']",['necklace'],"['Azure', 'Liquid', 'Gesture', 'Electric blue', 'Flash photography', 'Art', 'Space', 'Font', 'Event', 'Darkness']","['Person', 'Lighting']"
https://live.staticflickr.com/65535/51105212242_5cb23d012c_o.jpg,,"['wall', 'indoor', 'lego', 'text', 'items', 'various', 'different', 'wheel', 'cluttered', 'variety', 'several']",['power drill'],"['Shoe', 'Light', 'Automotive design', 'Sneakers', 'Outdoor shoe', 'Yellow', 'Shelf', 'Luggage and bags', 'Shelving', 'Walking shoe']",['Shoe']
