image url,date taken,image size,dimensions,extension,location,account,description,date accessed
https://images.ala.org.au/store/a/1/c/a/691daf28-bb33-47f5-9ce8-7abc5c13ac1a/original,2018-01-25,NA,NA,NA,"long: 146.4312234521, lat: -37.8538767122",reiner,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/6/9/8/1/43c9f08f-989a-4662-9c42-79a370fb1896/original,2020-01-29,NA,NA,NA,"long: 139.0, lat: -34.5",NA,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/c/9/b/1/13ca4700-130f-44d5-b0df-66fee30d1b9c/original,2021-01-18,NA,NA,NA,"long: 149.15569, lat: -35.4023466667",deborod,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/7/d/a/b/147b29b7-e17a-483f-8015-aabace94bad7/original,2020-01-14,NA,NA,NA,"long: 138.5965882581, lat: -35.1473951076",cobaltducks,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/c/e/b/2/9ec61258-aa11-47e4-a40f-4c69f6962bec/original,2021-01-18,NA,NA,NA,"long: 145.1324006348, lat: -38.1750603156",suecee,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/f/1/2/e/ef7ac7ed-0d6c-44c2-9488-647877c4e21f/original,2019-01-01,NA,NA,NA,"long: 146.6722711111, lat: -37.8022002778",reiner,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/1/a/0/6/a939d6f3-fd08-4007-948f-bcdd1a5960a1/original,2016-01-09,NA,NA,NA,"long: 146.41373, lat: -38.361",NA,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/9/3/4/1/b25a8b3b-1d10-4b8f-82ce-685613791439/original,2020-01-14,NA,NA,NA,"long: 138.717868274, lat: -34.8042667392",anthonypaul,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/f/0/c/8/a42482af-3dff-4b61-91f4-cc0344a28c0f/original,2021-01-04,NA,NA,NA,"long: 144.3068591405, lat: -38.17622803",gecko9,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/6/e/7/2/3e9bd4c5-f436-43c0-b0d7-4807be0c27e6/original,2021-01-27,NA,NA,NA,"long: 147.7592380905, lat: -40.867607415",wildroo,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/e/f/5/f/0d9c6703-528c-431c-bb93-83b8147df5fe/original,2020-01-13,NA,NA,NA,"long: 138.6376138777, lat: -35.0045209979",dunedinjo,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/b/e/6/c/32f6b5af-6475-46a0-8ce6-61a1f7b1c6eb/original,2019-01-14,NA,NA,NA,"long: 145.0, lat: -37.7",NA,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/2/2/5/8/43d04d42-2d59-4905-9b38-e025639d8522/original,2021-01-03,NA,NA,NA,"long: 138.762375, lat: -35.0117694444",stephen169,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/2/9/d/b/47f95ac9-4666-4421-9354-c262d88dbd92/original,2021-01-22,NA,NA,NA,"long: 145.3944055556, lat: -37.9716583333",reiner,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/6/5/0/0/f63acfac-4ccd-44c0-97b4-09e2157b0056/original,2021-01-31,NA,NA,NA,"long: 150.532857065, lat: -34.5223265263",brwildlife,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/0/b/f/5/24a1cd96-d122-4d0c-9754-9bbe5a815fb0/original,2021-01-24,NA,NA,NA,"long: 149.0897833333, lat: -35.2914388889",lukequinane,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/8/b/e/b/f625ed87-18d6-4653-9096-46f66621beb8/original,2019-01-27,NA,NA,NA,"long: 145.8762245017, lat: -37.6736171661",reiner,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/7/0/0/0/fe540e87-125f-4751-82db-d04ed9140007/original,2021-01-31,NA,NA,NA,"long: 143.9743981973, lat: -37.6961734064",judithbailey,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/4/b/b/1/bacb551f-5f41-418d-b679-a2f2a4e01bb4/original,2018-01-12,NA,NA,NA,"long: 149.858328, lat: -37.159076",NA,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/7/9/f/2/171a911e-4f41-4368-bf89-c489e24b2f97/original,2021-01-02,NA,NA,NA,"long: 138.5621027778, lat: -35.0204666667",stephen169,NA,2021-04-10 15:06:53
