image url,date taken,image size,dimensions,extension,location,account,description,date accessed
https://images.ala.org.au/store/0/7/c/d/b630afc1-6376-4734-90d1-d90f1dbcdc70/original,2021-01-25,NA,NA,NA,"long: 145.1693676442, lat: -38.2230618192",gizz,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/0/9/3/6/37645ad3-7eb5-4d3c-9714-491da7616390/original,2021-01-09,NA,NA,NA,"long: 138.5162116439, lat: -34.6271339915",linda_millison,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/2/3/2/8/a6ea2a44-46c7-46a3-bee5-5931105e8232/original,2021-01-20,NA,NA,NA,"long: 149.1, lat: -35.3",NA,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/9/c/6/5/d39061f7-509f-4c9c-8769-639ccdc956c9/original,2019-01-27,NA,NA,NA,"long: 115.8289263916, lat: -33.5774257176",macras,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/4/6/e/b/43abb1ce-b203-4607-babb-7223d7e1be64/original,2019-01-20,NA,NA,NA,"long: 147.4, lat: -42.8",NA,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/a/4/6/b/a1e8c304-d57b-4052-9c7c-6f8da746b64a/original,2021-01-17,NA,NA,NA,"long: 138.6937918378, lat: -34.9629259611",b_martin_,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/b/6/0/7/60fde7b8-9c4f-4975-a5a2-8052d440706b/original,2019-01-29,NA,NA,NA,"long: 145.3, lat: -37.9",NA,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/b/3/2/c/e3f81aa2-2d07-4a31-9374-427cbbcdc23b/original,2016-01-11,NA,NA,NA,"long: 149.1, lat: -35.3",NA,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/a/c/0/3/f9394865-980d-43e9-aa4a-649d9da530ca/original,2021-01-26,NA,NA,NA,"long: 145.12555, lat: -37.991375",a_kurek,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/e/e/e/a/bda46388-9885-4213-8094-304d5911aeee/original,2018-01-29,NA,NA,NA,"long: 149.1, lat: -35.3",NA,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/a/a/2/c/580b721e-af74-4774-b435-6a5cfe23c2aa/original,2021-01-19,NA,NA,NA,"long: 150.7939583333, lat: -34.54852",allanlugg,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/a/4/6/2/417f7f7f-b3cb-4b70-acf4-d6a3fb3c264a/original,2021-01-13,NA,NA,NA,"long: 145.1334591155, lat: -38.0069848617",a_kurek,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/9/e/2/d/9f0eca14-4657-43cc-86c6-bc9851b6d2e9/original,2011-01-07,NA,NA,NA,"long: 145.9089035045, lat: -41.0787532004",gumnut,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/b/0/5/5/72c021fe-aca0-4dc9-924f-10631423550b/original,2017-01-05,NA,NA,NA,"long: 149.1, lat: -35.3",NA,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/c/6/0/9/4410e393-9e5f-4cef-9873-e9eab582906c/original,2021-01-09,NA,NA,NA,"long: 117.6676150267, lat: -34.4707567163",kdunnart,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/d/f/7/1/072eefba-0b4c-4f67-be69-02dd558e17fd/original,2021-01-25,NA,NA,NA,"long: 120.73369637131691, lat: -29.505690407580783",30367,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/d/f/b/c/2a096f6f-949f-4385-b161-86b9c662cbfd/original,2021-01-04,NA,NA,NA,"long: 143.9968582924, lat: -37.6887661492",graemelunt,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/a/1/4/e/4021cbe4-fe6c-42d6-8f73-01fd3eeae41a/original,2021-01-12,NA,NA,NA,"long: 115.1, lat: -33.9",NA,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/f/d/c/1/185ea351-496c-499a-8d34-e6629e281cdf/original,2017-01-04,NA,NA,NA,"long: 145.1292387654, lat: -38.0064683905",lek,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/2/3/3/5/1506fdf3-fba9-4ecf-9b7d-2ef82c4a5332/original,2020-01-30,NA,NA,NA,"long: 145.4974551047, lat: -37.866333952",reiner,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/a/5/c/b/b3213923-9066-4a46-b240-e5a73719bc5a/original,2018-01-25,NA,NA,NA,"long: 149.1608740701, lat: -35.3141046841",deborod,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/9/a/f/7/c28fae51-ccf6-4fe0-be4f-c7b44e767fa9/original,2010-01-21,NA,NA,NA,"long: 145.3353, lat: -42.1542",953,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/8/2/4/8/3873b8e6-0f2f-4a88-85c2-e79454b58428/original,2020-01-05,NA,NA,NA,"long: 149.1310388315, lat: -35.4081328637",deborod,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/5/3/7/d/1a8731fb-d25b-4b0a-9759-f39733cbd735/original,2010-01-21,NA,NA,NA,"long: 145.3353, lat: -42.1542",arthur_chapman,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/c/3/3/1/86bc1b38-d2f8-429e-abc6-543e31f1133c/original,2018-01-17,NA,NA,NA,"long: 149.1, lat: -35.3",NA,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/7/b/c/f/206cc3bf-974d-429d-af75-c90eb473fcb7/original,2021-01-24,NA,NA,NA,"long: 138.7156583333, lat: -34.9115316667",presidentfobhm,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/3/1/1/e/bfbfccf4-cdcf-4aef-8ce4-dd5f5951e113/original,2015-01-06,NA,NA,NA,"long: 148.9644012451172, lat: -35.751461029052734",9704,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/2/0/e/d/312af2b7-046f-493e-9263-51c65e51de02/original,2010-01-21,NA,NA,NA,"long: 145.3353, lat: -42.1542",953,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/9/d/5/4/70f59c19-d778-47c6-a55e-2f01cf3e45d9/original,2020-01-05,NA,NA,NA,"long: 117.93050333, lat: -34.65237",npk,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/6/4/8/4/5a6b07ab-0500-47d4-9d58-1be23dc84846/original,2021-01-27,NA,NA,NA,"long: 149.1092938429, lat: -35.2764299545",deborod,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/f/1/8/8/23a3987a-ca5f-4011-8ec4-da8eeae4881f/original,2021-01-22,NA,NA,NA,"long: 138.700225, lat: -35.0689583333",wombatplace,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/d/5/2/6/3371b5ad-336f-4e87-986e-ac12327f625d/original,2021-01-16,NA,NA,NA,"long: 138.396406024, lat: -35.4072625937",davemmdave,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/0/0/0/d/10e0e56f-0627-45b0-b0e1-30715422d000/original,2020-01-12,NA,NA,NA,"long: 143.9, lat: -37.6",NA,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/1/d/3/b/44ef6da0-b2f2-4c0b-b84a-885816abb3d1/original,2017-01-30,NA,NA,NA,"long: 149.1, lat: -35.3",NA,NA,2021-04-10 18:31:19
https://images.ala.org.au/store/7/2/1/8/2dbfb716-6bfb-4713-a882-da7cf22d8127/original,2020-01-16,NA,NA,NA,"long: 138.4718193258, lat: -35.2014065462",naturehoodz,NA,2021-04-10 18:31:19
