image url,date taken,image size,dimensions,extension,location,account,description,date accessed
https://images.ala.org.au/store/0/7/c/d/b630afc1-6376-4734-90d1-d90f1dbcdc70/original,2021-01-25,9437217,"(2048, 1536)",JPEG,"long: 145.1693676442, lat: -38.2230618192",gizz,NA,2021-04-14 16:19:44
https://images.ala.org.au/store/0/9/3/6/37645ad3-7eb5-4d3c-9714-491da7616390/original,2021-01-09,8546337,"(2048, 1391)",JPEG,"long: 138.5162116439, lat: -34.6271339915",linda_millison,NA,2021-04-14 16:19:45
https://images.ala.org.au/store/9/c/6/5/d39061f7-509f-4c9c-8769-639ccdc956c9/original,2019-01-27,8386593,"(2048, 1365)",JPEG,"long: 115.8289263916, lat: -33.5774257176",macras,NA,2021-04-14 16:19:51
https://images.ala.org.au/store/4/6/e/b/43abb1ce-b203-4607-babb-7223d7e1be64/original,2019-01-20,12780321,"(1548, 2752)",JPEG,"long: 147.4, lat: -42.8",NA,NA,2021-04-14 16:19:55
https://images.ala.org.au/store/a/4/6/b/a1e8c304-d57b-4052-9c7c-6f8da746b64a/original,2021-01-17,8386593,"(2048, 1365)",JPEG,"long: 138.6937918378, lat: -34.9629259611",b_martin_,NA,2021-04-14 16:19:57
https://images.ala.org.au/store/b/6/0/7/60fde7b8-9c4f-4975-a5a2-8052d440706b/original,2019-01-29,2001033,"(1000, 667)",JPEG,"long: 145.3, lat: -37.9",NA,NA,2021-04-14 16:19:58
https://images.ala.org.au/store/a/a/2/c/580b721e-af74-4774-b435-6a5cfe23c2aa/original,2021-01-19,4665633,"(1440, 1080)",JPEG,"long: 150.7939583333, lat: -34.54852",allanlugg,NA,2021-04-14 16:20:03
https://images.ala.org.au/store/a/4/6/2/417f7f7f-b3cb-4b70-acf4-d6a3fb3c264a/original,2021-01-13,6970893,"(1755, 1324)",JPEG,"long: 145.1334591155, lat: -38.0069848617",a_kurek,NA,2021-04-14 16:20:07
https://images.ala.org.au/store/9/e/2/d/9f0eca14-4657-43cc-86c6-bc9851b6d2e9/original,2011-01-07,7077921,"(2048, 1152)",JPEG,"long: 145.9089035045, lat: -41.0787532004",gumnut,NA,2021-04-14 16:20:09
https://images.ala.org.au/store/c/6/0/9/4410e393-9e5f-4cef-9873-e9eab582906c/original,2021-01-09,9437217,"(2048, 1536)",JPEG,"long: 117.6676150267, lat: -34.4707567163",kdunnart,NA,2021-04-14 16:20:11
https://images.ala.org.au/store/a/1/4/e/4021cbe4-fe6c-42d6-8f73-01fd3eeae41a/original,2021-01-12,3000033,"(1000, 1000)",JPEG,"long: 115.1, lat: -33.9",NA,NA,2021-04-14 16:20:15
https://images.ala.org.au/store/f/d/c/1/185ea351-496c-499a-8d34-e6629e281cdf/original,2017-01-04,8004033,"(2000, 1334)",JPEG,"long: 145.1292387654, lat: -38.0064683905",lek,NA,2021-04-14 16:20:16
https://images.ala.org.au/store/2/3/3/5/1506fdf3-fba9-4ecf-9b7d-2ef82c4a5332/original,2020-01-30,2128929,"(1008, 704)",JPEG,"long: 145.4974551047, lat: -37.866333952",reiner,NA,2021-04-14 16:20:17
https://images.ala.org.au/store/a/5/c/b/b3213923-9066-4a46-b240-e5a73719bc5a/original,2018-01-25,6480033,"(1800, 1200)",JPEG,"long: 149.1608740701, lat: -35.3141046841",deborod,NA,2021-04-14 16:20:19
https://images.ala.org.au/store/9/a/f/7/c28fae51-ccf6-4fe0-be4f-c7b44e767fa9/original,2010-01-21,562533,"(500, 375)",JPEG,"long: 145.3353, lat: -42.1542",953,NA,2021-04-14 16:20:20
https://images.ala.org.au/store/8/2/4/8/3873b8e6-0f2f-4a88-85c2-e79454b58428/original,2020-01-05,6480033,"(1800, 1200)",JPEG,"long: 149.1310388315, lat: -35.4081328637",deborod,NA,2021-04-14 16:20:21
https://images.ala.org.au/store/5/3/7/d/1a8731fb-d25b-4b0a-9759-f39733cbd735/original,2010-01-21,9437217,"(2048, 1536)",JPEG,"long: 145.3353, lat: -42.1542",arthur_chapman,NA,2021-04-14 16:20:22
https://images.ala.org.au/store/7/b/c/f/206cc3bf-974d-429d-af75-c90eb473fcb7/original,2021-01-24,9437217,"(2048, 1536)",JPEG,"long: 138.7156583333, lat: -34.9115316667",presidentfobhm,NA,2021-04-14 16:20:25
https://images.ala.org.au/store/3/1/1/e/bfbfccf4-cdcf-4aef-8ce4-dd5f5951e113/original,2015-01-06,1361898,"(815, 557)",JPEG,"long: 148.9644012451172, lat: -35.751461029052734",9704,NA,2021-04-14 16:20:26
https://images.ala.org.au/store/2/0/e/d/312af2b7-046f-493e-9263-51c65e51de02/original,2010-01-21,562533,"(500, 375)",JPEG,"long: 145.3353, lat: -42.1542",953,NA,2021-04-14 16:20:27
https://images.ala.org.au/store/9/d/5/4/70f59c19-d778-47c6-a55e-2f01cf3e45d9/original,2020-01-05,4522398,"(1251, 1205)",JPEG,"long: 117.93050333, lat: -34.65237",npk,NA,2021-04-14 16:20:28
https://images.ala.org.au/store/6/4/8/4/5a6b07ab-0500-47d4-9d58-1be23dc84846/original,2021-01-27,6480033,"(1800, 1200)",JPEG,"long: 149.1092938429, lat: -35.2764299545",deborod,NA,2021-04-14 16:20:29
https://images.ala.org.au/store/f/1/8/8/23a3987a-ca5f-4011-8ec4-da8eeae4881f/original,2021-01-22,2976006,"(991, 1001)",JPEG,"long: 138.700225, lat: -35.0689583333",wombatplace,NA,2021-04-14 16:20:31
https://images.ala.org.au/store/d/5/2/6/3371b5ad-336f-4e87-986e-ac12327f625d/original,2021-01-16,9535521,"(2048, 1552)",JPEG,"long: 138.396406024, lat: -35.4072625937",davemmdave,NA,2021-04-14 16:20:33
https://images.ala.org.au/store/f/3/0/3/24f869c0-4e47-419b-a109-56417e99303f/original,2020-01-28,8386593,"(2048, 1365)",JPEG,"long: 146.5651072403, lat: -38.4286512968",allenlyu,NA,2021-04-14 16:20:40
https://images.ala.org.au/store/b/d/9/2/8558ea8f-36a8-4372-a695-1a153d0429db/original,2021-01-10,4665633,"(1440, 1080)",JPEG,"long: 150.8974333333, lat: -32.17565",allanlugg,NA,2021-04-14 16:20:42
https://images.ala.org.au/store/b/0/5/c/6094c74c-4389-4c37-997b-651f4c76c50b/original,2019-01-01,6480033,"(1800, 1200)",JPEG,"long: 149.1611111167, lat: -35.3139881111",deborod,NA,2021-04-14 16:20:43
https://images.ala.org.au/store/8/8/7/9/a61dbc54-61de-4bbf-a1cf-6189db079788/original,2018-01-07,14745633,"(2560, 1920)",MPO,"long: 144.67995822429657, lat: -37.8813825840375",68679,NA,2021-04-14 16:20:47
https://images.ala.org.au/store/a/2/5/3/0d67c309-81f8-4110-a470-8de7e954352a/original,2020-01-16,27945951,"(3619, 2574)",JPEG,"long: 144.7, lat: -37.9",NA,NA,2021-04-14 16:20:50
https://images.ala.org.au/store/7/8/9/d/332271d0-161d-4056-851d-064f75abd987/original,2020-01-23,2250033,"(750, 1000)",JPEG,"long: 138.7, lat: -35.1",NA,NA,2021-04-14 16:20:52
https://images.ala.org.au/store/9/1/9/c/9c661a78-2c26-473d-8b7f-4bdd6279c919/original,2021-01-01,9732129,"(2048, 1584)",JPEG,"long: 145.1172717591, lat: -38.5170217362",torhek,NA,2021-04-14 16:20:54
https://images.ala.org.au/store/4/3/1/a/ed3660ff-3548-450c-be65-50f8de47a134/original,2019-01-13,2250033,"(750, 1000)",JPEG,"long: 142.0, lat: -37.7",NA,NA,2021-04-14 16:20:56
https://images.ala.org.au/store/1/f/e/7/1063b64b-71f8-46bf-82a1-a9d7aeb27ef1/original,2019-01-14,9437217,"(2048, 1536)",JPEG,"long: 151.12421437, lat: -33.7775119",zaphodbeeblebrox,NA,2021-04-14 16:20:58
https://images.ala.org.au/store/1/e/5/7/01e6ab6c-2e9f-41f5-a76d-3521c9f075e1/original,2018-01-09,2250033,"(1000, 750)",JPEG,"long: 153.1, lat: -30.3",NA,NA,2021-04-14 16:20:59
