"all _ image _ url","Event Date - parsed","User","Occurrence status assumed to be present","Coordinate precision not valid","Country inferred from coordinates","Data are generalised","Coordinates converted to WGS84","First of the month","First of the year","Geodetic datum assumed WGS84","Habitat incorrect for species","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Collector name unparseable","Coordinate uncertainty not valid","Collection code not recognised","Institution code not recognised"
"","2003-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","2005-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","2003-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","1980-01-01","","false","false","false","true","true","true","true","false","false","false","false","false","false","false","true","true"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","2005-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","2003-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"9fa5b450-e8f6-47d1-a599-838233d5aa97","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"","","","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"","2005-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","2005-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","2003-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","","","false","false","false","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","2004-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","2010-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","1968-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","2004-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
