"all _ image _ url","Event Date - parsed","User","Latitude","Longitude","Occurrence status assumed to be present","Coordinate precision not valid","Country inferred from coordinates","Coordinates derived from verbatim coordinates","Coordinates converted to WGS84","First of the month","First of the year","Geodetic datum assumed WGS84","Habitat incorrect for species","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Coordinates are transposed","Collector name unparseable","Coordinate uncertainty not valid"
"691daf28-bb33-47f5-9ce8-7abc5c13ac1a","2018-01-25","reiner","-37.8538767122","146.4312234521","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","2015-01-19","","-31.96327589","115.9345702","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","2013-01-27","","-31.92984731","115.8027327","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","1973-01-04","","-42.89","147.31","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false"
"43c9f08f-989a-4662-9c42-79a370fb1896","2020-01-29","","-34.5","139.0","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
"","2010-01-25","","-33.67428282","150.2815533","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"13ca4700-130f-44d5-b0df-66fee30d1b9c","2021-01-18","deborod","-35.4023466667","149.15569","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"147b29b7-e17a-483f-8015-aabace94bad7","2020-01-14","cobaltducks","-35.1473951076","138.5965882581","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"9ec61258-aa11-47e4-a40f-4c69f6962bec","2021-01-18","suecee","-38.1750603156","145.1324006348","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"ef7ac7ed-0d6c-44c2-9488-647877c4e21f","2019-01-01","reiner","-37.8022002778","146.6722711111","true","false","true","false","false","true","true","true","false","false","false","false","false","false","false"
"a939d6f3-fd08-4007-948f-bcdd1a5960a1","2016-01-09","","-38.361","146.41373","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"","2010-01-06","","-37.0200982","144.84375","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"b25a8b3b-1d10-4b8f-82ce-685613791439","2020-01-14","anthonypaul","-34.8042667392","138.717868274","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"a42482af-3dff-4b61-91f4-cc0344a28c0f","2021-01-04","gecko9","-38.17622803","144.3068591405","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"3e9bd4c5-f436-43c0-b0d7-4807be0c27e6","2021-01-27","wildroo","-40.867607415","147.7592380905","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"0d9c6703-528c-431c-bb93-83b8147df5fe","2020-01-13","dunedinjo","-35.0045209979","138.6376138777","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","2018-01-27","","-38.373467","146.415433","false","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"32f6b5af-6475-46a0-8ce6-61a1f7b1c6eb","2019-01-14","","-37.7","145.0","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
"43d04d42-2d59-4905-9b38-e025639d8522","2021-01-03","stephen169","-35.0117694444","138.762375","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","1973-01-04","","-42.89","147.31","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false"
"","1999-01-07","","-41.89221648799852","146.0816033940731","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"47f95ac9-4666-4421-9354-c262d88dbd92","2021-01-22","reiner","-37.9716583333","145.3944055556","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"f63acfac-4ccd-44c0-97b4-09e2157b0056","2021-01-31","brwildlife","-34.5223265263","150.532857065","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","2015-01-28","","-41.4896","145.1063","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true"
"24a1cd96-d122-4d0c-9754-9bbe5a815fb0","2021-01-24","lukequinane","-35.2914388889","149.0897833333","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"f625ed87-18d6-4653-9096-46f66621beb8","2019-01-27","reiner","-37.6736171661","145.8762245017","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","2015-01-27","","-41.6556","145.0819","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true"
"fe540e87-125f-4751-82db-d04ed9140007","2021-01-31","judithbailey","-37.6961734064","143.9743981973","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"bacb551f-5f41-418d-b679-a2f2a4e01bb4","2018-01-12","","-37.159076","149.858328","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"","2015-01-27","","-41.6508","145.0783","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true"
"171a911e-4f41-4368-bf89-c489e24b2f97","2021-01-02","stephen169","-35.0204666667","138.5621027778","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"77a2d1fa-0853-45b3-8cb0-518bb20a2e6f","2021-01-08","reiner","-37.9709886111","145.3932366667","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"438c6c69-74fb-4d20-958d-e59ceb70f4e3","2021-01-29","","-35.0","138.6","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
