image url,microsoft azure labels,gluon labels,google label description,google object detection
https://images.ala.org.au/store/b/6/3/4/550336c0-b8fc-43cc-895e-a1b09deb436b/original,"['animal', 'grass', 'frog', 'drawing', 'reptile']",['tailed frog'],"['Frog', 'True toad', 'True frog', 'Toad', 'Texas Toad', 'Amphibian', 'Terrestrial animal', 'Anaxyrus', 'Soil', 'Bullfrog']",['Frog']
https://images.ala.org.au/store/c/1/4/3/13002759-816e-4ba7-8b05-138f36c2341c/original,"['reptile', 'water', 'animal', 'aquarium', 'turtle', 'tortoise', 'fish', 'snake', 'crocodile', 'frog', 'salamander', 'sea turtle']","['tailed frog', 'bullfrog']","['Frog', 'Terrestrial plant', 'Reptile', 'Plant', 'True frog', 'Toad', 'Terrestrial animal', 'Wood', 'Amphibian', 'Grass']","['Frog', 'Animal']"
https://images.ala.org.au/store/1/5/d/3/4f716673-27b8-44b7-b9c9-64b9aa573d51/original,"['outdoor', 'fungus', 'wood', 'plant', 'old', 'dirt', 'dirty']",['stinkhorn'],"['Plant', 'Botany', 'Terrestrial plant', 'Grass', 'Twig', 'Wood', 'Compost', 'Soil', 'Event', 'Terrestrial animal']",['Animal']
https://images.ala.org.au/store/c/e/7/e/0327eaed-17de-4501-bd75-a6dee164e7ec/original,"['animal', 'water', 'reflection', 'meal']",['bullfrog'],"['Water', 'Yellow', 'Twig', 'Plant', 'Cuisine', 'Grass', 'Terrestrial plant', 'Liquid', 'Dish', 'Fashion accessory']","['Frog', 'Animal']"
https://images.ala.org.au/store/3/6/9/3/51239099-c8bd-4778-a2c3-97a87c053963/original,"['frog', 'animal']",['tailed frog'],"['Arthropod', 'Insect', 'Toad', 'Terrestrial animal', 'Amphibian', 'Pest', 'True frog', 'Terrestrial plant', 'Invertebrate', 'Soil']",['Frog']
https://images.ala.org.au/store/7/6/e/d/f73a08ff-a3a8-4ae1-8adb-909ef263de67/original,"['animal', 'rock', 'frog', 'reptile', 'lizard', 'amphibian', 'snake', 'toad']",['tailed frog'],"['Brown', 'Frog', 'Toad', 'True frog', 'Terrestrial animal', 'True toad', 'Asphalt', 'Amphibian', 'Road surface', 'Wood']",['Frog']
https://images.ala.org.au/store/e/6/8/7/1d2eac7a-4d3d-4b78-a171-ad6955ce786e/original,"['water', 'swimming']",['tailed frog'],"['Brown', 'Frog', 'Fluid', 'Liquid', 'Water', 'Toad', 'Amphibian', 'Terrestrial animal', 'Tints and shades', 'Electric blue']","['Animal', 'Packaged goods']"
https://images.ala.org.au/store/8/8/d/7/1de1487c-f48e-4e9d-b398-b3743ae17d88/original,"['outdoor', 'reptile', 'animal', 'plant', 'green', 'turtle', 'leaf', 'frog', 'tortoise']","['American alligator', 'frilled lizard']","['Eye', 'Plant', 'Leaf', 'Moths and butterflies', 'Terrestrial plant', 'Grass', 'Reptile', 'Groundcover', 'Terrestrial animal', 'Pollinator']",['Animal']
https://images.ala.org.au/store/3/d/1/4/4dd8140f-3c2b-461b-8331-7723b60b41d3/original,"['animal', 'ground', 'frog', 'reptile', 'outdoor', 'amphibian', 'true frog', 'toad', 'lizard', 'true toad', 'snake']","['tailed frog', 'bullfrog']","['Brown', 'Frog', 'True frog', 'Toad', 'Organism', 'True toad', 'Terrestrial animal', 'Amphibian', 'Texas Toad', 'Insect']",['Frog']
https://images.ala.org.au/store/e/4/f/6/321530c7-7d4b-403b-802a-1b22c2b66f4e/original,"['grass', 'animal', 'outdoor', 'ground', 'frog', 'reptile', 'lizard', 'amphibian', 'toad', 'true toad', 'true frog', 'scaled reptile', 'anaxyrus']",['tailed frog'],"['Plant', 'True toad', 'Frog', 'Eye', 'True frog', 'Toad', 'Terrestrial plant', 'Amphibian', 'Terrestrial animal', 'Anaxyrus']","['Frog', 'Animal']"
https://images.ala.org.au/store/6/c/7/a/2dd510a5-5ca5-406f-b95d-f93df5a0a7c6/original,"['animal', 'aquarium', 'water', 'appliance', 'fish', 'blue']",['tailed frog'],"['Hood', 'Window', 'Automotive tire', 'Motor vehicle', 'Automotive design', 'Automotive exterior', 'Vehicle door', 'Bumper', 'Automotive lighting', 'Gas']",['Animal']
