image url,microsoft azure labels,gluon labels,google label description,google object detection
https://images.ala.org.au/store/a/1/c/a/691daf28-bb33-47f5-9ce8-7abc5c13ac1a/original,"['invertebrate', 'insect', 'animal', 'green', 'arthropod', 'pest', 'dragonfly', 'pollinator', 'fly', 'net-winged insects', 'bee', 'membrane-winged insect']","['fly', 'bee']","['Insect', 'Arthropod', 'Pollinator', 'Pest', 'Wing', 'Parasite', 'Membrane-winged insect', 'Net-winged insects', 'wasp', 'Macro photography']",['Insect']
https://images.ala.org.au/store/6/9/8/1/43c9f08f-989a-4662-9c42-79a370fb1896/original,"['invertebrate', 'insect', 'plastic', 'container', 'snack food', 'decorated']","['honeycomb', 'bee']","['Pollinator', 'Insect', 'Arthropod', 'Plant', 'Organism', 'Honeybee', 'Pest', 'Parasite', 'Close-up', 'Flowering plant']",['Tubed packaged goods']
https://images.ala.org.au/store/c/9/b/1/13ca4700-130f-44d5-b0df-66fee30d1b9c/original,"['invertebrate', 'insect', 'rock', 'animal', 'reef', 'arthropod', 'pest', 'caterpillar', 'meat', 'meal']",['bee'],"['Insect', 'Arthropod', 'Pollinator', 'Terrestrial animal', 'Pest', 'Bedrock', 'Soil', 'Invertebrate', 'Rock', 'Membrane-winged insect']","['Insect', 'Animal']"
https://images.ala.org.au/store/7/d/a/b/147b29b7-e17a-483f-8015-aabace94bad7/original,"['invertebrate', 'animal', 'yellow', 'bee', 'insect']","['bee', 'European fire salamander']","['Face', 'Head', 'Pollinator', 'Eye', 'Insect', 'Arthropod', 'Human body', 'Honeybee', 'Pest', 'Plant']",['Insect']
https://images.ala.org.au/store/c/e/b/2/9ec61258-aa11-47e4-a40f-4c69f6962bec/original,"['yellow', 'outdoor', 'ground', 'animal', 'insect', 'art', 'wave']","['rock crab', 'centipede']","['Arthropod', 'Insect', 'Pollinator', 'Pest', 'Terrestrial animal', 'Invertebrate', 'Beetle', 'Font', 'Parasite', 'Asphalt']",['Insect']
https://images.ala.org.au/store/f/1/2/e/ef7ac7ed-0d6c-44c2-9488-647877c4e21f/original,"['invertebrate', 'insect', 'outdoor object', 'animal', 'arthropod', 'bee', 'moths and butterflies', 'pollinator', 'reptile', 'caterpillar', 'pest', 'beetle']",['European fire salamander'],"['Pollinator', 'Arthropod', 'Insect', 'Organism', 'Terrestrial animal', 'Wood', 'Pest', 'Honeybee', 'Soil', 'Membrane-winged insect']",['Insect']
https://images.ala.org.au/store/1/a/0/6/a939d6f3-fd08-4007-948f-bcdd1a5960a1/original,"['invertebrate', 'insect', 'animal', 'beetle', 'pest', 'arthropod', 'bee', 'wasp', 'eumenidae', 'membrane-winged insect', 'pollinator', 'sphecidae', 'hornet', 'net-winged insects']","['bee', 'honeycomb']","['Arthropod', 'Insect', 'Pest', 'Pollinator', 'Invertebrate', 'Parasite', 'Membrane-winged insect', 'Wing', 'Fly', 'Net-winged insects']",['Bee']
https://images.ala.org.au/store/9/3/4/1/b25a8b3b-1d10-4b8f-82ce-685613791439/original,"['indoor', 'insect', 'invertebrate', 'outdoor object']","['honeycomb', 'bee', 'window screen']","['Pollinator', 'Arthropod', 'Insect', 'Pest', 'Mesh', 'Honeybee', 'Pattern', 'Parasite', 'Membrane-winged insect', 'Wing']",['Bee']
https://images.ala.org.au/store/f/0/c/8/a42482af-3dff-4b61-91f4-cc0344a28c0f/original,"['invertebrate', 'outdoor', 'beetle', 'spider', 'pest', 'arthropod', 'animal', ""wasp's nest"", 'insect', 'outdoor object', 'wooden', 'wasp', 'ant', 'wood', 'bee', 'ladybug']","['honeycomb', 'long-horned beetle', 'cicada']","['Arthropod', 'Wood', 'Organism', 'Insect', 'Parasite', 'Close-up', 'wasp', 'Pest', 'Fly', 'Invertebrate']",['Insect']
https://images.ala.org.au/store/6/e/7/2/3e9bd4c5-f436-43c0-b0d7-4807be0c27e6/original,"['insect', 'invertebrate', 'rock', 'butterfly', 'stone']",['bee'],"['Plant', 'Insect', 'Arthropod', 'Branch', 'Twig', 'Terrestrial plant', 'Sunlight', 'Flower', 'Pollinator', 'Grass']","['Insect', 'Moths and butterflies']"
