image url,microsoft azure labels,gluon labels,google label description,google object detection
https://images.ala.org.au/store/0/7/c/d/b630afc1-6376-4734-90d1-d90f1dbcdc70/original,"['grass', 'outdoor', 'animal', 'squirrel', 'rodent', 'mouse', 'rabbit', 'hamster', 'mammal', 'ground squirrels', 'grey squirrel', 'lagomorph']",['wood rabbit'],"['Plant', 'Rodent', 'Vegetation', 'Fawn', 'Grass', 'Terrestrial animal', 'Grassland', 'Groundcover', 'Grass family', 'Tail']",['Rabbit']
https://images.ala.org.au/store/0/9/3/6/37645ad3-7eb5-4d3c-9714-491da7616390/original,"['grass', 'outdoor', 'animal', 'mammal', 'lagomorph']","['hare', 'wood rabbit']","['Plant', 'Ecoregion', 'Vertebrate', 'Nature', 'Natural environment', ""Audubon's Cottontail"", 'Mountain Cottontail', 'Rabbit', 'wood rabbit', 'Mammal']",['Rabbit']
https://images.ala.org.au/store/2/3/2/8/a6ea2a44-46c7-46a3-bee5-5931105e8232/original,"['grass', 'outdoor', 'field', 'plant', 'playground', 'grassy', 'area', 'shade']",['mobile home'],"['Plant', 'Wood', 'Window', 'Chair', 'Shade', 'Land lot', 'Sunlight', 'Rectangle', 'Door', 'Grass']",[]
https://images.ala.org.au/store/9/c/6/5/d39061f7-509f-4c9c-8769-639ccdc956c9/original,"['grass', 'outdoor', 'mammal', 'lagomorph', 'animal', 'rabbit', 'rabbits and hares', ""audubon's cottontail"", 'mountain cottontail', 'domestic rabbit', 'hare', 'eastern cottontail', 'field', 'lower keys marsh rabbit', 'brown hare', 'snowshoe hare', 'wood rabbit', 'black tailed jackrabbit', 'pygmy rabbit', 'marsupial', 'kangaroo', 'bunny', 'rodent']","['hare', 'wood rabbit']","['Rabbit', 'Ecoregion', ""Audubon's Cottontail"", 'Natural environment', 'Mountain Cottontail', 'wood rabbit', 'Plant', 'Grass', 'Domestic rabbit', 'Whiskers']",['Rabbit']
https://images.ala.org.au/store/4/6/e/b/43abb1ce-b203-4607-babb-7223d7e1be64/original,"['grass', 'outdoor', 'ground', 'animal', 'mammal', 'carnivore', 'zoo', 'bear', 'dirt']","['baboon', 'macaque', 'wallaby']","['Vertebrate', 'Fawn', 'Grass', 'Terrestrial animal', 'Groundcover', 'Meadow', 'Grassland', 'Grazing', 'Landscape', 'Prairie']","['Rabbit', 'Animal']"
https://images.ala.org.au/store/a/4/6/b/a1e8c304-d57b-4052-9c7c-6f8da746b64a/original,"['animal', 'grass', 'outdoor', 'mammal', 'tree', 'rabbit', 'squirrel', 'rodent', 'mountain cottontail', ""audubon's cottontail"", 'eastern cottontail', 'rabbits and hares']",['wood rabbit'],"['Rodent', 'Twig', 'Beak', 'Fawn', 'Wood', 'Grass', 'Plant', 'Terrestrial animal', 'Rabbit', 'Tail']",['Rabbit']
https://images.ala.org.au/store/b/6/0/7/60fde7b8-9c4f-4975-a5a2-8052d440706b/original,"['grass', 'outdoor', 'rabbit', 'animal', 'ground', 'lagomorph', 'mammal', 'rabbits and hares', 'domestic rabbit', 'mountain cottontail', ""audubon's cottontail"", 'eastern cottontail', 'hare', 'lower keys marsh rabbit', 'snowshoe hare', 'brown hare', 'wood rabbit', 'pygmy rabbit', 'black tailed jackrabbit', 'rodent', 'bunny', 'fawn', 'squirrel', 'cement']",['hare'],"['Rabbit', ""Audubon's Cottontail"", 'Plant', 'wood rabbit', 'Mountain Cottontail', 'Eastern Cottontail', 'Vegetation', 'Hare', 'Grass', 'Rabbits and Hares']","['Rabbit', 'Person']"
https://images.ala.org.au/store/b/3/2/c/e3f81aa2-2d07-4a31-9374-427cbbcdc23b/original,"['grass', 'tree', 'outdoor', 'playground', 'day']",['parallel bars'],"['Sky', 'Tree', 'Cloud', 'Land lot', 'Plant', 'Asphalt', 'Grass', 'Urban design', 'Road surface', 'Recreation']",['Building']
https://images.ala.org.au/store/a/c/0/3/f9394865-980d-43e9-aa4a-649d9da530ca/original,"['grass', 'outdoor', 'field', 'green', 'grassy', 'pasture', 'lush']","['wallaby', 'wood rabbit']","['Plant', 'Tree', 'Grass', 'Natural landscape', 'Grassland', 'Groundcover', 'Plain', 'Grazing', 'Meadow', 'Landscape']",['Animal']
https://images.ala.org.au/store/e/e/e/a/bda46388-9885-4213-8094-304d5911aeee/original,"['grass', 'outdoor', 'animal', 'rabbit', 'field', 'squirrel', ""audubon's cottontail"", 'mountain cottontail', 'plant', 'rabbits and hares', 'eastern cottontail', 'hare', 'grassy', 'mammal', 'lush', 'hillside']","['hare', 'wood rabbit']","['Plant', 'Rabbit', 'Grass', 'Fawn', 'Grassland', 'Groundcover', 'Asphalt', 'Hare', 'Meadow', 'Grass family']","['Rabbit', 'Animal']"
