image url,microsoft azure labels,gluon labels,google label description,google object detection
https://images.ala.org.au/store/0/7/c/d/b630afc1-6376-4734-90d1-d90f1dbcdc70/original,"['grass', 'outdoor', 'animal', 'squirrel', 'rodent', 'mouse', 'rabbit', 'hamster', 'mammal', 'ground squirrels', 'grey squirrel', 'lagomorph']",['wood rabbit'],"['Plant', 'Rodent', 'Vegetation', 'Fawn', 'Grass', 'Terrestrial animal', 'Grassland', 'Groundcover', 'Grass family', 'Tail']",['Rabbit']
https://images.ala.org.au/store/0/9/3/6/37645ad3-7eb5-4d3c-9714-491da7616390/original,"['grass', 'outdoor', 'animal', 'mammal', 'lagomorph']","['hare', 'wood rabbit']","['Plant', 'Ecoregion', 'Vertebrate', 'Nature', 'Natural environment', ""Audubon's Cottontail"", 'Mountain Cottontail', 'Rabbit', 'wood rabbit', 'Mammal']",['Rabbit']
https://images.ala.org.au/store/9/c/6/5/d39061f7-509f-4c9c-8769-639ccdc956c9/original,"['grass', 'outdoor', 'mammal', 'lagomorph', 'animal', 'rabbit', 'rabbits and hares', ""audubon's cottontail"", 'mountain cottontail', 'domestic rabbit', 'hare', 'eastern cottontail', 'field', 'lower keys marsh rabbit', 'brown hare', 'snowshoe hare', 'wood rabbit', 'black tailed jackrabbit', 'pygmy rabbit', 'marsupial', 'kangaroo', 'bunny', 'rodent']","['hare', 'wood rabbit']","['Rabbit', 'Ecoregion', ""Audubon's Cottontail"", 'Natural environment', 'Mountain Cottontail', 'wood rabbit', 'Plant', 'Grass', 'Domestic rabbit', 'Whiskers']",['Rabbit']
https://images.ala.org.au/store/4/6/e/b/43abb1ce-b203-4607-babb-7223d7e1be64/original,"['grass', 'outdoor', 'ground', 'animal', 'mammal', 'carnivore', 'zoo', 'bear', 'dirt']","['baboon', 'macaque', 'wallaby']","['Vertebrate', 'Fawn', 'Grass', 'Terrestrial animal', 'Groundcover', 'Meadow', 'Grassland', 'Grazing', 'Landscape', 'Prairie']","['Rabbit', 'Animal']"
https://images.ala.org.au/store/a/4/6/b/a1e8c304-d57b-4052-9c7c-6f8da746b64a/original,"['animal', 'grass', 'outdoor', 'mammal', 'tree', 'rabbit', 'squirrel', 'rodent', 'mountain cottontail', ""audubon's cottontail"", 'eastern cottontail', 'rabbits and hares']",['wood rabbit'],"['Rodent', 'Twig', 'Beak', 'Fawn', 'Wood', 'Grass', 'Plant', 'Terrestrial animal', 'Rabbit', 'Tail']",['Rabbit']
https://images.ala.org.au/store/b/6/0/7/60fde7b8-9c4f-4975-a5a2-8052d440706b/original,"['grass', 'outdoor', 'rabbit', 'animal', 'ground', 'lagomorph', 'mammal', 'rabbits and hares', 'domestic rabbit', 'mountain cottontail', ""audubon's cottontail"", 'eastern cottontail', 'hare', 'lower keys marsh rabbit', 'snowshoe hare', 'brown hare', 'wood rabbit', 'pygmy rabbit', 'black tailed jackrabbit', 'rodent', 'bunny', 'fawn', 'squirrel', 'cement']",['hare'],"['Rabbit', ""Audubon's Cottontail"", 'Plant', 'wood rabbit', 'Mountain Cottontail', 'Eastern Cottontail', 'Vegetation', 'Hare', 'Grass', 'Rabbits and Hares']","['Rabbit', 'Person']"
https://images.ala.org.au/store/a/a/2/c/580b721e-af74-4774-b435-6a5cfe23c2aa/original,"['grass', 'outdoor', 'lagomorph', 'animal', 'ground', 'mammal', 'rabbit', 'rabbits and hares', ""audubon's cottontail"", 'mountain cottontail', 'eastern cottontail', 'hare', 'domestic rabbit', 'lower keys marsh rabbit', 'brown hare', 'wood rabbit', 'snowshoe hare', 'black tailed jackrabbit', 'pygmy rabbit', 'marsupial', 'rodent', 'fawn', 'kangaroo', 'dirt']","['wood rabbit', 'hare']","['Rabbit', 'Plant', 'wood rabbit', 'Mountain Cottontail', ""Audubon's Cottontail"", 'Hare', 'Rabbits and Hares', 'Domestic rabbit', 'Terrestrial plant', 'Fawn']",['Rabbit']
https://images.ala.org.au/store/a/4/6/2/417f7f7f-b3cb-4b70-acf4-d6a3fb3c264a/original,"['grass', 'outdoor', 'tree', 'field', 'plant', 'forest']",['wallaby'],"['Plant', 'Wood', 'Twig', 'Grass', 'Fawn', 'Natural landscape', 'Trunk', 'Terrestrial animal', 'Groundcover', 'Grass family']",['Animal']
https://images.ala.org.au/store/c/6/0/9/4410e393-9e5f-4cef-9873-e9eab582906c/original,"['mammal', 'animal', 'lagomorph', 'rabbit', 'outdoor', 'squirrel', 'rabbits and hares', 'domestic rabbit', 'rodent', ""audubon's cottontail"", 'mountain cottontail', 'hare', 'eastern cottontail', 'plant', 'bunny']",['wood rabbit'],"['Plant', 'Rabbit', 'Mountain Cottontail', ""Audubon's Cottontail"", 'Organism', 'Grass', 'Wood', 'Twig', 'wood rabbit', 'Fawn']","['Rabbit', 'Animal']"
https://images.ala.org.au/store/a/1/4/e/4021cbe4-fe6c-42d6-8f73-01fd3eeae41a/original,"['lagomorph', 'grass', 'mammal', 'outdoor', 'animal', 'rabbit', 'field', 'rabbits and hares', 'bunny', 'hare']","['hare', 'wood rabbit']","['Rabbit', ""Audubon's Cottontail"", 'wood rabbit', 'Mountain Cottontail', 'Rabbits and Hares', 'Hare', 'Grass', 'Eastern Cottontail', 'Fawn', 'Groundcover']","['Rabbit', 'Bird']"
