image url,microsoft azure labels,gluon labels,google label description,google object detection
https://inaturalist-open-data.s3.amazonaws.com/photos/4663/medium.jpg?1444267780,"['animal', 'ground', 'outdoor', 'reptile', 'amphibian', 'frog', 'true frog', 'toad', 'lizard', 'true toad', 'anaxyrus']",['tailed frog'],"['Head', 'Frog', 'Eye', 'True frog', 'Vertebrate', 'True toad', 'Toad', 'Organism', 'Amphibian', 'Water']",['Frog']
https://inaturalist-open-data.s3.amazonaws.com/photos/32772/medium.JPG,"['grass', 'outdoor', 'animal', 'cave', 'old']",['beaver'],"['Plant', 'Leaf', 'Wood', 'Grass', 'Terrestrial plant', 'Biome', 'Trunk', 'Groundcover', 'Grass family', 'Forest']","['Frog', 'Animal']"
https://static.inaturalist.org/photos/32888/medium.jpg,"['ground', 'animal', 'frog', 'reptile', 'turtle', 'tortoise', 'sea turtle', 'lizard', 'rock', 'amphibian', 'snake', 'toad', 'true toad', 'stone', 'dirt']",['tailed frog'],"['Terrestrial animal', 'Arthropod', 'Snout', 'Toad', 'Amphibian', 'Insect', 'Frog', 'Invertebrate', 'Soil', 'Wildlife']","['Frog', 'Animal', 'Turtle']"
https://static.inaturalist.org/photos/32889/medium.jpg,"['animal', 'frog', 'reptile', 'lizard', 'amphibian', 'snake', 'toad', 'true frog', 'true toad', 'scaled reptile']",['tailed frog'],"['Frog', 'Vertebrate', 'True toad', 'Toad', 'Organism', 'True frog', 'Terrestrial animal', 'Amphibian', 'Bufo', 'Eleutherodactylus']",['Frog']
https://static.inaturalist.org/photos/33353/medium.JPG,"['animal', 'reptile', 'outdoor', 'lizard', 'amphibian', 'snake', 'crocodile', 'true frog', 'scaled reptile', 'toad', 'plant', 'true toad', 'crocodilia', 'leaf', 'frog']",['tailed frog'],"['Plant', 'Frog', 'Water', 'Toad', 'Terrestrial plant', 'True frog', 'Grass', 'Fish', 'Aquatic plant', 'Amphibian']",['Frog']
https://static.inaturalist.org/photos/33493/medium.JPG,"['person', 'animal', 'reptile', 'frog', 'lizard', 'amphibian', 'indoor', 'true frog', 'toad', 'true toad', 'snake', 'hand', 'crocodile', 'scaled reptile', 'turtle', 'anaxyrus', 'tortoise', 'bullfrog']",['tailed frog'],"['Hand', 'Toad', 'Fish', 'Frog', 'Amphibian', 'Ray-finned fish', 'Hat', 'True toad', 'Wildlife', 'Biting']","['Frog', 'Person', 'Clothing']"
https://static.inaturalist.org/photos/34087/medium.jpg,"['animal', 'reptile', 'frog', 'lizard', 'amphibian', 'crocodile', 'toad', 'true frog', 'true toad', 'snake', 'scaled reptile', 'crocodilia', 'turtle', 'close']",['tailed frog'],"['Eye', 'Reptile', 'Toad', 'Terrestrial animal', 'Wood', 'Amphibian', 'Snout', 'Scaled reptile', 'True frog', 'Close-up']",['Frog']
https://inaturalist-open-data.s3.amazonaws.com/photos/34305/medium.jpg,"['person', 'indoor', 'hand', 'reptile', 'flesh', 'nail', 'vein', 'snake', 'frog']","['tailed frog', 'loggerhead']","['Hand', 'Jaw', 'Finger', 'Gesture', 'Thumb', 'Nail', 'Wrinkle', 'Tire', 'Wrist', 'Blood vessel']","['Person', 'Animal', 'Clothing']"
https://static.inaturalist.org/photos/34345/medium.jpg?1444503005,"['reptile', 'animal', 'salamander', 'lizard', 'frog', 'turtle', 'amphibian', 'tortoise', 'snake', 'crocodile', 'scaled reptile', 'true frog', 'sea turtle', 'toad', 'crocodilia']","['mud turtle', 'tailed frog']","['Water', 'True frog', 'Frog', 'Reptile', 'Terrestrial animal', 'True toad', 'Toad', 'Amphibian', 'Snout', 'Scaled reptile']",['Animal']
https://static.inaturalist.org/photos/35741/medium.JPG,"['animal', 'ground', 'person', 'outdoor', 'frog', 'reptile', 'snake']",['bullfrog'],"['Reptile', 'Jaw', 'Toad', 'Grass', 'Terrestrial animal', 'Amphibian', 'Wildlife biologist', 'Scaled reptile', 'Soil', 'True toad']",['Frog']
https://inaturalist-open-data.s3.amazonaws.com/photos/36048/medium.JPG,"['grass', 'outdoor', 'animal', 'reptile', 'frog', 'snake', 'lizard', 'amphibian', 'true frog', 'toad', 'green', 'true toad', 'scaled reptile']","['tailed frog', 'bullfrog']","['Plant', 'True toad', 'Frog', 'Eye', 'True frog', 'Leaf', 'Toad', 'Vegetation', 'Amphibian', 'Terrestrial animal']","['Frog', 'Animal']"
https://static.inaturalist.org/photos/39207/medium.JPG,"['grass', 'animal', 'outdoor', 'frog', 'reptile', 'amphibian', 'toad', 'true frog', 'true toad', 'lizard', 'anaxyrus', 'texas toad']",['tailed frog'],"['Head', 'Frog', 'True frog', 'True toad', 'Toad', 'Amphibian', 'Terrestrial animal', 'Grass', 'Anaxyrus', 'Bufo']",['Frog']
https://static.inaturalist.org/photos/40748/medium.jpg?1444338566,"['animal', 'ground', 'frog', 'true frog', 'amphibian', 'toad', 'reptile', 'true toad', 'lizard', 'anaxyrus', 'herpetology']","['tailed frog', 'bullfrog']","['Head', 'Frog', 'True toad', 'True frog', 'Toad', 'Amphibian', 'Terrestrial animal', 'Terrestrial plant', 'Bullfrog', 'Texas Toad']",['Frog']
https://static.inaturalist.org/photos/40764/medium.jpg?1444338623,"['ground', 'animal', 'rock', 'reptile', 'outdoor', 'amphibian', 'true frog', 'lizard', 'frog', 'toad', 'true toad', 'rocky', 'snake', 'anaxyrus', 'scaled reptile', 'bullfrog', 'stone', 'dirt', 'close']",['tailed frog'],"['True frog', 'Frog', 'True toad', 'Toad', 'Terrestrial animal', 'Amphibian', 'Bullfrog', 'Soil', 'Bufo', 'Eleutherodactylus']","['Frog', 'Animal']"
https://static.inaturalist.org/photos/40847/medium.jpg,"['animal', 'reptile', 'frog', 'amphibian', 'turtle', 'true frog', 'tortoise', 'toad', 'sea turtle', 'snake', 'true toad', 'crocodile']",['tailed frog'],"['Water', 'Liquid', 'Eye', 'True toad', 'Frog', 'True frog', 'Toad', 'Fluid', 'Terrestrial animal', 'Amphibian']",['Frog']
https://static.inaturalist.org/photos/41311/medium.JPG,"['animal', 'frog', 'ground', 'reptile', 'amphibian', 'true frog', 'toad', 'true toad', 'lizard', 'anaxyrus', 'open']",['tailed frog'],"['Head', 'Frog', 'True toad', 'Eye', 'True frog', 'Toad', 'Anaxyrus', 'Terrestrial animal', 'Amphibian', 'Snout']",['Frog']
https://static.inaturalist.org/photos/41320/medium.JPG,"['grass', 'outdoor', 'animal', 'reptile', 'lizard', 'crocodile', 'snake', 'amphibian', 'turtle', 'scaled reptile', 'tortoise', 'crocodilia', 'american alligator', 'alligator', 'toad', 'frog', 'nile crocodile', 'true frog', 'saltwater crocodile', 'true toad', 'american crocodile']","['tailed frog', 'bullfrog']","['Frog', 'Terrestrial animal', 'Amphibian', 'Reptile', 'Grass', 'True frog', 'Snout', 'Wood', 'Toad', 'Wildlife']",['Frog']
