image url,microsoft azure labels,gluon labels,google label description,google object detection
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/171580222_1770253476510180_6777765614545888982_n.jpg?tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=Jl0NF57aoRoAX81tm6Y&edm=ALQROFkAAAAA&ccb=7-4&oh=e1307d616854ab7d47528ce7b1dfeb42&oe=6098218B&_nc_sid=30a2ef&ig_cache_key=MjU0OTgwMDk1MzkzMTMxMzg0NA%3D%3D.2-ccb7-4,"['animal', 'reptile', 'frog', 'lizard', 'crocodile', 'amphibian', 'open']",['tailed frog'],"['Head', 'Eye', 'Frog', 'True toad', 'True frog', 'Toad', 'Anaxyrus', 'Organism', 'Terrestrial animal', 'Adaptation']",['Frog']
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/171199771_2971418446474065_273411777310012972_n.jpg?se=7&tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=gLc9s3pz4_oAX-gDfkX&edm=ALQROFkAAAAA&ccb=7-4&oh=edcbfd2ff1e5096d2233a742b6d085fb&oe=609A7A34&_nc_sid=30a2ef&ig_cache_key=MjU0OTczNTU1ODkwMzk0ODc1MA%3D%3D.2-ccb7-4,"['different', 'text', 'screenshot', 'reef', 'colorful', 'items', 'collage', 'thing', 'various', 'bunch', 'same', 'colors', 'several', 'shop']","['mushroom', 'web site']","['Photograph', 'Green', 'Vertebrate', 'Nature', 'Human', 'Organism', 'Mammal', 'Art', 'Collage', 'Font']",['Person']
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/172455574_1090136354731536_2900063177601039398_n.jpg?se=7&tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=dHRF7zRz7iwAX9EEPOJ&edm=ALQROFkAAAAA&ccb=7-4&oh=2520d367fa1d13f2b71ea0b1b48bbad8&oe=609A2CD5&_nc_sid=30a2ef&ig_cache_key=MjU0OTYzNjYzOTYxNTgwOTAyNQ%3D%3D.2-ccb7-4,"['animal', 'turtle', 'tortoise', 'lizard', 'reptile', 'crocodile', 'sea turtle', 'scaled reptile', 'snake', 'iguania', 'crocodilia', 'iguanidae', 'iguana', 'komodo dragon', 'alligator', 'saltwater crocodile', 'nile crocodile', 'american alligator', 'green iguana', 'marine iguana', 'dinosaur', 'american crocodile', 'varanidae']",['tailed frog'],"['Reptile', 'Nature', 'Organism', 'Iguania', 'Lizard', 'Scaled reptile', 'Adaptation', 'Terrestrial animal', 'Terrestrial plant', 'Close-up']",['Lizard']
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/171813284_814008179471668_5381364301940208966_n.jpg?tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=LCZ4jp695_AAX-Te4Ot&edm=ABZsPhsAAAAA&ccb=7-4&oh=329f826f104c32804f7fd4bcd793bbf2&oe=609A73D7&_nc_sid=4efc9f,"['grass', 'outdoor', 'reptile', 'animal', 'turtle', 'field', 'tortoise', 'flower', 'crocodile']",['African crocodile'],"['Plant', 'Plant community', 'Nature', 'Flower', 'Grass', 'Reptile', 'Organism', 'Natural landscape', 'Grassland', 'Terrestrial animal']","['Lizard', 'Flower', 'Animal']"
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/171768448_446624023297437_1422165660361190994_n.jpg?se=7&tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=ZOmNoebNytgAX9ZS8fN&edm=ALQROFkAAAAA&ccb=7-4&oh=e327c3e4d0f3a7b4cc5c53b8cca25099&oe=6098994D&_nc_sid=30a2ef&ig_cache_key=MjU0OTQ4NzI2ODk4NDI1OTk1OQ%3D%3D.2-ccb7-4,"['indoor', 'reptile', 'person', 'animal', 'frog', 'lizard', 'amphibian', 'true frog', 'toad']",['tailed frog'],"['Hand', 'Frog', 'True frog', 'Toad', 'Finger', 'Amphibian', 'True toad', 'Terrestrial animal', 'Electric blue', 'Bullfrog']",['Frog']
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/170703645_1325792324466361_6969079019067802921_n.jpg?se=7&tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=7g9lmwVC-oMAX9Z5n-9&edm=ALQROFkAAAAA&ccb=7-4&oh=b115001002178f4271139d09be53349f&oe=6099A06F&_nc_sid=30a2ef&ig_cache_key=MjU0OTQ1NzUzNzY2ODkzOTE2Nw%3D%3D.2-ccb7-4,"['reef', 'floor', 'green']","['honeycomb', 'ant']","['Wood', 'Cuisine', 'Rectangle', 'Tints and shades', 'Dish', 'Soil', 'Brick', 'Ingredient', 'Carmine', 'Fish']",['Food']
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/170859471_730738564267481_4922302876499962180_n.jpg?tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=mjN19buUc88AX9iZWi7&edm=ABZsPhsAAAAA&ccb=7-4&oh=e3ee03d49cadad83d825b557af7f2ce2&oe=6099A0E6&_nc_sid=4efc9f,"['grass', 'animal', 'frog', 'reptile', 'lizard', 'amphibian', 'true frog', 'toad']",['tailed frog'],"['True toad', 'Plant', 'True frog', 'Frog', 'Toad', 'Grass', 'Adaptation', 'Terrestrial animal', 'Amphibian', 'Bullfrog']",['Frog']
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/172700075_579330599704518_3023038598328629936_n.jpg?tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=9hTB47vP41UAX-GjIFk&edm=ABZsPhsAAAAA&ccb=7-4&oh=29e38e53bdbd9d7db88a72f12fd5ae2d&oe=609790FD&_nc_sid=4efc9f,"['person', 'reptile', 'animal', 'lizard', 'flower', 'hand']","['leatherback turtle', 'African chameleon', 'tailed frog']","['Gesture', 'Finger', 'Terrestrial plant', 'Creative arts', 'Thumb', 'Terrestrial animal', 'Reptile', 'Grass', 'Wrist', 'Nail']",['Animal']
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/171186512_1622608577938006_5631536433412642183_n.jpg?se=7&tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=rvOGTxd0qYwAX_IgM16&edm=ALQROFkAAAAA&ccb=7-4&oh=af627178cb604dc8d7f987c7bbfc8b47&oe=60975E37&_nc_sid=30a2ef&ig_cache_key=MjU0OTE2MzQ3MjMwMzA0NDY0Mw%3D%3D.2-ccb7-4,"['water', 'reptile', 'lizard', 'animal', 'frog']","['water snake', 'terrapin', 'mud turtle']","['Water', 'Plant', 'Terrestrial plant', 'Bedrock', 'Aquatic plant', 'Terrestrial animal', 'Reptile', 'Iguania', 'Lizard', 'Rock']",['Snake']
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/172118042_439282600708410_4318009520750838003_n.jpg?se=7&tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=LhSZxFF5Zu8AX8fxJl9&edm=ALQROFkAAAAA&ccb=7-4&oh=bf40e749d2ea6a61d93bf93b5b103507&oe=6099DC6B&_nc_sid=30a2ef&ig_cache_key=MjU0ODc5NjE2NzEzNjU0MDM2Nw%3D%3D.2-ccb7-4,"['reptile', 'text', 'animal', 'turtle', 'tortoise', 'lizard', 'frog', 'crocodile', 'snake', 'sea turtle', 'scaled reptile', 'amphibian']",['tailed frog'],"['Reptile', 'Jaw', 'Organism', 'Toad', 'Terrestrial plant', 'Adaptation', 'Terrestrial animal', 'Font', 'Tortoise', 'Amphibian']",['Frog']
