image url,microsoft azure labels,gluon labels,google label description,google object detection
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/170158842_751209228872341_8749827943735892782_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=101&_nc_ohc=t-xSMUThhgYAX8KPkJs&edm=ABZsPhsAAAAA&ccb=7-4&oh=7fbd378ceab465e2514c660ae4067c3b&oe=609822DC&_nc_sid=4efc9f,"['table', 'plant', 'vegetable']",['Petri dish'],"['Plant', 'Dishware', 'Liquid', 'Fluid', 'Ingredient', 'Serveware', 'Terrestrial plant', 'Automotive lighting', 'Tableware', 'Grass']",['Tableware']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/170080422_288964159533882_1652444046154340217_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=X4bT_plBnGkAX9n6Ypj&edm=ABZsPhsAAAAA&ccb=7-4&oh=a7d47d11a499ac771d705e67bd6b2546&oe=609859F8&_nc_sid=4efc9f,"['sky', 'outdoor', 'sunset', 'cloud', 'tree', 'silhouette', 'nature', 'sunrise', 'landscape', 'setting', 'sun', 'clouds']","['seashore', 'lakeside']","['Sky', 'Atmosphere', 'Cloud', 'Natural landscape', 'Afterglow', 'Branch', 'Twig', 'Sunlight', 'Dusk', 'Atmospheric phenomenon']",[]
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/168575232_1119014115282251_8559823909132926373_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=SSgVU7S-YlEAX9LsquY&edm=ABZsPhsAAAAA&ccb=7-4&oh=3947f421eb3d7d889e1c33f2286ff452&oe=6095E445&_nc_sid=4efc9f,"['bottle', 'items', 'arranged']","[""carpenter's kit""]","['Handheld power drill', 'Product', 'Hammer drill', 'Green', 'Chainsaw', 'Drill', 'Pneumatic tool', 'Tool', 'Rotary tool', 'Power tool']",['Packaged goods']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/165980975_223187396261354_4596288856881763994_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Z7nzKoxHH9kAX_ikIGK&edm=ALQROFkAAAAA&ccb=7-4&oh=82eb77e0322008843546677b811f4f49&oe=60951E00&_nc_sid=30a2ef&ig_cache_key=MjU0MDY5MDM0NTkyMzI4NDkyOA%3D%3D.2-ccb7-4,"['sky', 'outdoor', 'tree', 'fog', 'cloud', 'landscape', 'nature', 'hill', 'plant', 'hillside', 'lush', 'day']",['lakeside'],"['Cloud', 'Sky', 'Plant', 'Natural landscape', 'Tree', 'Grey', 'Plain', 'Cumulus', 'Landscape', 'Grassland']",[]
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/166364220_5058624560820641_1512186605449981361_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=h9BwCJ_hcFkAX_kNRJp&edm=ABZsPhsAAAAA&ccb=7-4&oh=8821c75e8765a01b7fe3688d93484f12&oe=6096345A&_nc_sid=4efc9f,"['dog', 'sitting', 'carnivore', 'animal', 'indoor', 'black', 'white', 'dog breed', 'mammal', 'non-sporting group', 'pet', 'sporting group', 'pug', 'bulldog', 'snout', 'dog collar', 'staring']","['American Staffordshire terrier', 'Staffordshire bullterrier']","['Dog', 'Eye', 'Working animal', 'Collar', 'Carnivore', 'Whiskers', 'Dog breed', 'Fawn', 'Companion dog', 'Window']",['Dog']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/164696083_885549598962991_4524136463831443596_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=jlJmLLiNeSwAX9braWV&edm=ABZsPhsAAAAA&ccb=7-4&oh=aca7498b3ccf7e5f80b94f5b999a98b6&oe=60970C99&_nc_sid=4efc9f,"['insect', 'invertebrate', 'flower', 'plant', 'bee', 'pollinator', 'animal']",['bee'],"['Flower', 'Plant', 'Pollinator', 'Insect', 'Arthropod', 'Purple', 'Botany', 'Petal', 'Organism', 'Honeybee']",['Bee']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/164910974_103260428483212_4202989397973129916_n.jpg?se=8&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=Axb4nn00h9kAX8xxu9D&edm=ALQROFkAAAAA&ccb=7-4&oh=4d41e63260c3d9bd71f6d01c9095623d&oe=60960135&_nc_sid=30a2ef&ig_cache_key=MjUzODA3NTE1NDU0OTgzMzIyNA%3D%3D.2-ccb7-4,"['insect', 'invertebrate', 'yellow', 'tree', 'outdoor', 'bee', 'pollinator', 'membrane-winged insect', 'arthropod', 'animal', 'wasp', 'pest', 'eumenidae', 'beetle', 'outdoor object', 'hornet', 'branch']",['fly'],"['Pollinator', 'Plant', 'Insect', 'Arthropod', 'Dragonflies and damseflies', 'Dragonfly', 'Wing', 'Pest', 'Hawker dragonflies', 'Grass']",['Bee']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/165080205_792359498359092_1794503060170467527_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=UBjCaCQYoRQAX8Y_iER&edm=ABZsPhsAAAAA&ccb=7-4&oh=dad60704a6a6d8e243d509173c58e17b&oe=609649EF&_nc_sid=4efc9f,"['yellow', 'invertebrate', 'bee', 'animal', 'arthropod', 'fly', 'spider', 'insect', 'pest', 'beetle', 'membrane-winged insect']","['bee', 'fly']","['Head', 'Pollinator', 'Insect', 'Eye', 'Arthropod', 'Human body', 'Organism', 'Honeybee', 'Pest', 'Terrestrial animal']",['Insect']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/163265426_943477619789442_5157005022989492439_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=5i1CtTPXbHIAX8MZpLK&tn=CFN-y2aLS9Va3mKe&edm=ABZsPhsAAAAA&ccb=7-4&oh=e4e66bfd65b58ceb96491090732f1835&oe=6097B35C&_nc_sid=4efc9f,"['plant', 'flower', 'flora', 'poppy']","['pot', 'daisy']","['Flower', 'Plant', 'Petal', 'Terrestrial plant', 'Herbaceous plant', 'Flowering plant', 'Annual plant', 'Pollen', 'Grass', 'Shrub']",['Flower']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/160608125_437721774120601_5088593210583697630_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=101&_nc_ohc=6EGxNw9bpgwAX_4_x9u&edm=ALQROFkAAAAA&ccb=7-4&oh=1667285e9eb20a3c208a023660baa5e8&oe=60964D00&_nc_sid=30a2ef&ig_cache_key=MjUzMTI2NDgzMDgyOTQ3NDY5Mw%3D%3D.2-ccb7-4,"['outdoor', 'grass', 'grave', 'cemetery', 'plant', 'green', 'flower']",['broom'],"['Plant', 'Leaf', 'Grass', 'Wood', 'Terrestrial plant', 'Trunk', 'Groundcover', 'Grass family', 'Twig', 'Natural material']",['Shoe']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/159910402_789495934994702_5243628777858236743_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=XR9bpM_ve10AX_0Sg7G&edm=ALQROFkAAAAA&ccb=7-4&oh=21b83fd0b8400f4e783101f44d8d7dd0&oe=60975552&_nc_sid=30a2ef&ig_cache_key=MjUyODIxMTY5NzI0OTA1MzgxNg%3D%3D.2-ccb7-4,"['outdoor', 'sky', 'water', 'cloud', 'sunset', 'lake', 'landscape', 'clouds', 'nature', 'sunrise', 'shore']","['seashore', 'beacon']","['Cloud', 'Sky', 'Water', 'Atmosphere', 'Ecoregion', 'Natural landscape', 'Afterglow', 'Sunlight', 'Cumulus', 'Red sky at morning']",[]
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/158699736_181954196815405_5050253554131279852_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=101&_nc_ohc=pR_hiGn4wjAAX9kaQg5&edm=ALQROFkAAAAA&ccb=7-4&oh=65dc0b1ca76880dec512868290c200c9&oe=60975EFE&_nc_sid=30a2ef&ig_cache_key=MjUyNzE1NzA0NDMwMDg1NDkyNw%3D%3D.2-ccb7-4,"['rock', 'invertebrate', 'outdoor', 'snow', 'animal', 'yellow', 'pile', 'stone', 'insect']","['honeycomb', 'grasshopper']","['Arthropod', 'Insect', 'Pollinator', 'Pest', 'Terrestrial animal', 'Bedrock', 'Wildlife', 'Landscape', 'Invertebrate', 'Membrane-winged insect']",['Insect']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/158919235_176200090979959_4411771736785041331_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=3-zHp5jLZp8AX92ZLfa&edm=ABZsPhsAAAAA&ccb=7-4&oh=fd0f183cd37034653f14c91fcfd9538a&oe=609564F7&_nc_sid=4efc9f,"['outdoor', 'grass', 'fog', 'nature', 'sky', 'field', 'standing', 'plant', 'bird', 'cloudy', 'distance', 'hillside', 'lush', 'day', 'highland']","['alp', 'lakeside']","['Plant', 'Sky', 'Cloud', 'Natural landscape', 'Twig', 'Grey', 'Fog', 'Grass', 'Horizon', 'Landscape']",[]
