image url,microsoft azure labels,gluon labels,google label description,google object detection
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/173107570_227247825856572_8643458054808024331_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=j06lFBysenAAX95Spv1&edm=ABZsPhsAAAAA&ccb=7-4&oh=01d533ff715a80dc451306578839a2ac&oe=609DF9BD&_nc_sid=4efc9f,"['grass', 'lagomorph', 'outdoor', 'mammal', 'animal', 'rabbit', 'field', 'mountain cottontail', 'eastern cottontail', ""audubon's cottontail"", 'rabbits and hares', 'lower keys marsh rabbit', 'hare', 'domestic rabbit', 'brown hare', 'wood rabbit', 'snowshoe hare', 'standing', 'rodent', 'pygmy rabbit', 'black tailed jackrabbit', 'grassy', 'squirrel']",['wood rabbit'],"['Rabbit', 'Eastern Cottontail', 'wood rabbit', ""Audubon's Cottontail"", 'Mountain Cottontail', 'Plant', 'Grass', 'Domestic rabbit', 'Groundcover', 'Terrestrial animal']",['Rabbit']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/172999574_164828818852503_3568911495535414117_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=J66EEGSsdtgAX9TQaf8&edm=ALQROFkAAAAA&ccb=7-4&oh=b8edc219d8ab6fcd95125f1db6be7230&oe=609BFF5E&_nc_sid=30a2ef&ig_cache_key=MjU1MjAzODUyMzQyMDg5MjI1OA%3D%3D.2-ccb7-4,"['grass', 'animal', 'outdoor', 'mammal', 'lagomorph', 'field', 'rabbit', ""audubon's cottontail"", 'mountain cottontail', 'eastern cottontail', 'brown hare', 'hare', 'lower keys marsh rabbit']","['wood rabbit', 'hare']","['Rabbit', 'Natural environment', 'Rabbits and Hares', 'Rodent', 'wood rabbit', 'Plant', 'Whiskers', 'Fawn', 'Terrestrial animal', 'Lower Keys Marsh Rabbit']",['Rabbit']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/172352290_1720167264829276_2484010106627133687_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=tAoywdEFbosAX9ezybm&edm=ABZsPhsAAAAA&ccb=7-4&oh=fc65f95a25a5d742e01fa6dcf8652cb5&oe=609D8B1B&_nc_sid=4efc9f,"['outdoor', 'grass', 'animal', 'aquatic bird', 'bird', 'dry', 'pile', 'wood']",['whiptail'],"['Twig', 'Branch', 'Scaled reptile', 'Terrestrial animal', 'Grass', 'Reptile', 'Wood', 'Rodent', 'Plant', 'Soil']","['Animal', 'Moths and butterflies']"
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/172928280_3883294715090492_5175309001650554198_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=BzAKLZ7G8pYAX8u5T8p&edm=ALQROFkAAAAA&ccb=7-4&oh=a00778791dd93dfcfe371846fc23a3fe&oe=609BA43E&_nc_sid=30a2ef&ig_cache_key=MjU1MTk4NjE0MTIzNzM3NjQzNQ%3D%3D.2-ccb7-4,"['tattoo', 'floor', 'abstract', 'drawing', 'cartoon', 'indoor', 'sketch', 'art', 'ink', 'painting', 'child art']",['cowboy boot'],"['Sleeve', 'Temporary tattoo', 'Thigh', 'Elbow', 'Calf', 'Finger', 'Font', 'Tattoo', 'Cover-up', 'Creative arts']",['Packaged goods']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/173063716_3068715330081466_4423514417487361140_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=110&_nc_ohc=cGPadpA0BuUAX9Z338v&edm=ABZsPhsAAAAA&ccb=7-4&oh=4fbf942835c19b1c7ea3faa81d25e7bf&oe=609CB725&_nc_sid=4efc9f,"['grass', 'outdoor', 'animal', 'rabbit', 'field', 'mammal', 'laying', 'eastern cottontail', 'mountain cottontail', 'rodent', ""audubon's cottontail"", 'green', 'hare', 'brown hare', 'lower keys marsh rabbit', 'rabbits and hares', 'plant', 'ground squirrels', 'fox', 'grassy', 'grey squirrel', 'domestic rabbit', 'wood rabbit', 'snowshoe hare', 'squirrel', 'lagomorph', 'lush']","['wood rabbit', 'hare']","['Plant', 'Rabbit', 'Rabbits and Hares', 'wood rabbit', 'Mountain Cottontail', 'Grass', 'Hare', 'Lower Keys Marsh Rabbit', 'Fawn', 'Eastern Cottontail']",['Rabbit']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/173387956_446289366446004_5865777645826740937_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=S2NsWGnRK_kAX8nNm14&edm=ALQROFkAAAAA&ccb=7-4&oh=c2205376bd5ba1bfc0ac97103b7605d9&oe=609CEB18&_nc_sid=30a2ef&ig_cache_key=MjU1MTk1NzE3MzcxODcyNTk1OQ%3D%3D.2-ccb7-4,"['lagomorph', 'mammal', 'animal', 'rabbit', 'rabbits and hares', 'mountain cottontail', 'eastern cottontail', ""audubon's cottontail"", 'hare', 'domestic rabbit', 'lower keys marsh rabbit', 'brown hare']","['wood rabbit', 'hare']","['Rabbit', ""Audubon's Cottontail"", 'Mountain Cottontail', 'Whiskers', 'wood rabbit', 'Rabbits and Hares', 'Plant', 'Terrestrial animal', 'Fawn', 'Lower Keys Marsh Rabbit']",['Rabbit']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/173865181_307104847517751_633104405862493217_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=wmvRr-Wokz8AX91lSof&edm=ALQROFkAAAAA&ccb=7-4&oh=af22fbb2be302c037fe4be66affb5df0&oe=609C624D&_nc_sid=30a2ef&ig_cache_key=MjU1MTkzMjIxNzc5NjgzNDc5OQ%3D%3D.2-ccb7-4,"['ground', 'grass', 'outdoor', 'mammal', 'animal', 'rabbit', 'rock', 'standing', 'rodent', 'squirrel', 'mountain cottontail', 'little', 'eastern cottontail', 'rabbits and hares', ""audubon's cottontail"", 'domestic rabbit', 'lower keys marsh rabbit', 'hare', 'ground squirrels', 'snowshoe hare', 'wood rabbit', 'hamster', 'grey squirrel', 'pygmy rabbit', 'mouse', 'brown hare', 'lagomorph', 'dirt']",['wood rabbit'],"['Rabbit', 'Mountain Cottontail', 'Rodent', 'Rabbits and Hares', 'Whiskers', 'Grass', ""Audubon's Cottontail"", 'Fawn', 'Terrestrial animal', 'Groundcover']",['Rabbit']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/173615454_459372818701576_1865242414591617612_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=8LB-hIzQOe8AX84qYgc&edm=ABZsPhsAAAAA&ccb=7-4&oh=6f6ab9512b391b44efe9858b1767291d&oe=609BAAE0&_nc_sid=4efc9f,"['tree', 'outdoor', 'bird', 'animal', 'plant', 'branch', 'leaf']","['robin', 'bulbul']","['Bird', 'Beak', 'Plant', 'Branch', 'Feather', 'Twig', 'Tree', 'Songbird', 'Perching bird', 'Wildlife']",['Bird']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/172618005_2870428763212240_8709584110031095808_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=eRAq-qoWVzEAX-1tne7&edm=ALQROFkAAAAA&ccb=7-4&oh=f90b7aa14e774833af7b79f0d4e41941&oe=609DDD61&_nc_sid=30a2ef&ig_cache_key=MjU1MTkxODM5Nzg5OTUxMzc2OA%3D%3D.2-ccb7-4,"['grass', 'lagomorph', 'outdoor', 'mammal', 'animal', 'rabbit', 'rabbits and hares', 'mountain cottontail', ""audubon's cottontail"", 'eastern cottontail', 'field', 'hare', 'domestic rabbit', 'lower keys marsh rabbit', 'brown hare', 'wood rabbit', 'snowshoe hare', 'rodent', 'black tailed jackrabbit', 'pygmy rabbit']","['hare', 'wood rabbit']","['Rabbit', 'Plant', 'Nature', 'wood rabbit', 'Mountain Cottontail', 'Rabbits and Hares', ""Audubon's Cottontail"", 'Grass', 'Whiskers', 'Domestic rabbit']",['Rabbit']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/174212477_1612154292314428_749300601716945091_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=l-XYikoM4t0AX9OwS-f&edm=ALQROFkAAAAA&ccb=7-4&oh=b33d2c3cf684baaf376135b9444908d3&oe=609D1B1D&_nc_sid=30a2ef&ig_cache_key=MjU1MTkxMTgzODU2MzU3OTIwNg%3D%3D.2-ccb7-4,"['tree', 'outdoor', 'grass', 'animal', 'field', 'deer', 'carnivore', 'standing', 'wildlife', 'mammal', 'terrestrial animal', 'zoo', 'giraffe', 'area', 'lone', 'lush', 'wooded']","['harvestman', 'hare']","['Plant', 'Wood', 'Branch', 'Twig', 'Vegetation', 'Terrestrial plant', 'Grass', 'Fawn', 'Terrestrial animal', 'Natural material']",['Rabbit']
