image url,microsoft azure labels,gluon labels,google label description,google object detection
https://pbs.twimg.com/media/Eqy90-QW8AAD-GY?format=jpg&name=large,"['text', 'map', 'drawing', 'illustration', 'child art', 'painting', 'cartoon']",['tailed frog'],"['Botany', 'Leaf', 'Organism', 'Plant', 'Terrestrial plant', 'Art', 'Illustration', 'Terrestrial animal', 'Drawing', 'Painting']",['Frog']
https://pbs.twimg.com/media/ErtQHNgXUAAWcLQ?format=jpg&name=900x900,"['fashion accessory', 'chain', 'necklace', 'metalware', 'jewelry', 'earrings', 'indoor', 'pendant', 'jewellery', 'locket', 'crown', 'jewelry making', 'art', 'accessory', 'silver', 'body jewelry', 'key']",['chain'],"['White', 'Silver', 'Blue', 'Body jewelry', 'Natural material', 'Rectangle', 'Creative arts', 'Font', 'Material property', 'Aqua']",['Necklace']
https://pbs.twimg.com/media/EsLaVi6U0AIKVFa?format=jpg&name=900x900,"['text', 'screenshot', 'poster', 'human face', 'person', 'template', 'graphic']",['web site'],"['Product', 'Gesture', 'Font', 'Adaptation', 'Nail', 'Eyewear', 'Thumb', 'Brand', 'Advertising', 'Happy']",['Person']
https://pbs.twimg.com/media/EuMrxFzWYAQcLCb?format=jpg&name=900x900,"['animal', 'outdoor', 'reptile', 'rock', 'lizard', 'stone', 'trunk']","['African crocodile', 'American alligator']","['Vertebrate', 'Wood', 'Trunk', 'Bedrock', 'Plant', 'Terrestrial animal', 'Frog', 'Felidae', 'Landscape', 'Amphibian']","['Animal', 'Frog']"
https://pbs.twimg.com/media/Et7TZaMUcAASrsk?format=jpg&name=medium,"['reptile', 'frog', 'animal', 'lizard', 'amphibian', 'true frog']",['tailed frog'],"['Head', 'Plant', 'Eye', 'Frog', 'True toad', 'Toad', 'True frog', 'Organism', 'Fawn', 'Terrestrial animal']",['Animal']
https://pbs.twimg.com/media/EvtZgbbU8AEwbcY?format=jpg&name=medium,"['animal', 'frog', 'reptile', 'amphibian', 'true frog', 'toad', 'lizard', 'true toad']",['tailed frog'],"['Frog', 'Eye', 'True frog', 'Reptile', 'Toad', 'Liquid', 'Amphibian', 'Terrestrial animal', 'Snout', 'Water']",['Frog']
https://pbs.twimg.com/media/EvpddKsXAAYlsMd?format=jpg&name=medium,"['animal', 'reptile']","['electric ray', 'stingray']","['Organism', 'Frog', 'Space', 'Circle', 'Moon', 'Art', 'Toad', 'Astronomical object', 'Science', 'Water']","['Animal', 'Packaged goods']"
https://pbs.twimg.com/media/ExPOk7aVkAQsTSI?format=jpg&name=medium,"['person', 'grass', 'outdoor', 'fashion accessory', 'clothing', 'feet', 'fashion']",['jackfruit'],"['Hand', 'Shoe', 'Blue', 'Sleeve', 'People in nature', 'Street fashion', 'Grass', 'Knee', 'Nail', 'Wrist']","['Footwear', 'Person', 'Lizard', 'Top']"
https://pbs.twimg.com/media/ExfJvudUcAIrVCn?format=jpg&name=large,"['reptile', 'lizard', 'animal', 'amphibian', 'snake', 'frog', 'true frog', 'scaled reptile', 'toad', 'crocodile', 'turtle']",['tailed frog'],"['Brown', 'Frog', 'Insect', 'True frog', 'Toad', 'Wood', 'Reptile', 'Amphibian', 'Terrestrial animal', 'Pest']","['Frog', 'Animal']"
https://pbs.twimg.com/media/ExiaafbXAAIf7vQ?format=jpg&name=medium,"['animal', 'frog', 'reptile', 'closeup', 'amphibian', 'true frog', 'chocolate', 'close', 'dessert']","['tailed frog', 'bullfrog']","['Head', 'Eye', 'Reptile', 'Terrestrial animal', 'Snout', 'Amphibian', 'Close-up', 'Macro photography', 'Electric blue', 'Wildlife']",['Animal']
https://pbs.twimg.com/media/Ex5Vn0OWQAIV2-K?format=jpg&name=large,"['plant', 'dirty']","['pot', 'cup', 'coffee mug']","['Drinkware', 'Cup', 'Drink', 'Kopi luwak', 'Serveware', 'Liquid', 'Coffee', 'Wood', 'Automotive tire', 'Compost']",['Packaged goods']
https://pbs.twimg.com/media/EN1Pr0WX4AEfaIb?format=jpg&name=900x900,"['tree', 'ground', 'outdoor', 'animal', 'statue', 'stone']",[],"['Vertebrate', 'Beak', 'Wood', 'Tree', 'Mammal', 'Sculpture', 'Fawn', 'Statue', 'Art', 'Lawn ornament']",['Sculpture']
https://pbs.twimg.com/media/EQD08DCUwAAVb-r?format=jpg&name=medium,"['person', 'indoor', 'human face', 'clothing', 'child', 'smile', 'girl', 'toddler']",[],"['Smile', 'Head', 'Glasses', 'Table', 'Shirt', 'Organ', 'Chair', 'Sharing', 'T-shirt', 'Whiteboard']","['Glasses', 'Person', 'Top', 'Clothing']"
https://pbs.twimg.com/media/EPxEIs7UwAIpQlG?format=jpg&name=medium,"['grass', 'outdoor', 'green', 'plant']","['tailed frog', 'bullfrog']","['Plant', 'People in nature', 'Terrestrial plant', 'Grass', 'Groundcover', 'Terrestrial animal', 'Grass family', 'Grassland', 'Shrub', 'Soil']",['Animal']
https://pbs.twimg.com/media/EQFJ7mqUwAA9Jk9?format=jpg&name=medium,"['animal', 'spider', 'arthropod', 'drawing', 'skull', 'statue', 'concrete', 'cement', 'stone']",['tailed frog'],"['Brown', 'Wood', 'Branch', 'Twig', 'Organism', 'Trunk', 'Sculpture', 'Plant', 'Terrestrial plant', 'Art']",[]
