image url,microsoft azure labels,gluon labels,google label description,google object detection
https://pbs.twimg.com/media/EsvEmzfXIAEgBbl?format=jpg&name=medium,"['car', 'outdoor', 'tree', 'person', 'vehicle', 'land vehicle', 'transport', 'clothing', 'man', 'van']","['limousine', 'minivan']","['Footwear', 'Car', 'Vehicle', 'Tire', 'Motor vehicle', 'Tree', 'Hat', 'Wheel', 'Mode of transport', 'Gesture']","['Person', 'Hat', 'Footwear', 'Car']"
https://pbs.twimg.com/media/EuNbGBKWgAgXOAP?format=jpg&name=900x900,"['insect', 'invertebrate', 'indoor', 'animal', 'beetle', 'pest', 'arthropod', 'bee', 'food', 'spider', 'parasite', 'eaten']","['cockroach', 'long-horned beetle', 'rhinoceros beetle', 'ground beetle']","['Pollinator', 'Arthropod', 'Insect', 'Plant', 'Pest', 'Petal', 'Membrane-winged insect', 'Parasite', 'Honeybee', 'Invertebrate']",['Insect']
https://pbs.twimg.com/media/EtfGcmFXEAMAI4T?format=jpg&name=medium,"['text', 'animal', 'beetle', 'arthropod', 'spider', 'invertebrate', 'pest', 'insect']",['honeycomb'],"['Pollinator', 'Insect', 'Arthropod', 'Honeybee', 'Pest', 'Wing', 'Terrestrial plant', 'Parasite', 'Membrane-winged insect', 'Net-winged insects']","['Insect', 'Animal']"
https://pbs.twimg.com/media/EyeQSceXIAowGZa?format=jpg&name=900x900,"['invertebrate', 'plant', 'beetle', 'bee', 'animal', 'green', 'pollinator', 'insect', 'arthropod', 'pest', 'leaf', 'outdoor object']",['bee'],"['Pollinator', 'Insect', 'Plant', 'Arthropod', 'Pest', 'Honeybee', 'Close-up', 'Pollen', 'Membrane-winged insect', 'wasp']",['Bee']
https://pbs.twimg.com/media/EyNXdR_VoAEXuJO?format=jpg&name=medium,"['invertebrate', 'bee', 'outdoor object', 'yellow', ""wasp's nest"", 'animal', 'insect', 'pest', 'arthropod', 'beetle', 'fly', 'wasp', 'membrane-winged insect', 'pollinator', 'spider']","['honeycomb', 'bee']","['Arthropod', 'Pollinator', 'Insect', 'Honeybee', 'Pest', 'Parasite', 'Invertebrate', 'Terrestrial animal', 'Membrane-winged insect', 'Net-winged insects']",['Insect']
https://pbs.twimg.com/media/EyTEYk5XAAcgw9O?format=jpg&name=medium,"['plant', 'invertebrate', 'leaf', 'outdoor', 'green', 'honeycomb', 'animal', 'spider', 'insect', 'outdoor object', 'arthropod', 'close', 'dirt']",['long-horned beetle'],"['Pollinator', 'Arthropod', 'Green', 'Leaf', 'Insect', 'Plant', 'Pest', 'Flowering plant', 'Invertebrate', 'Parasite']",['Insect']
https://pbs.twimg.com/media/EQHdPHIXsAEDrHy?format=jpg&name=medium,"['invertebrate', 'yellow', 'animal', 'bee', 'spider', 'pest', 'wasp', 'beetle', 'arthropod', 'membrane-winged insect', 'fly', 'insect']",['bee'],"['Insect', 'Arthropod', 'Pollinator', 'Organism', 'Pest', 'Art', 'Invertebrate', 'Parasite', 'Membrane-winged insect', 'Honeybee']",['Insect']
https://pbs.twimg.com/media/EQckM5nVUAArumF?format=jpg&name=medium,"['text', 'screenshot', 'design']",['web site'],"['Gesture', 'Yellow', 'Happy', 'Font', 'Art', 'Rose', 'Photo caption', 'Brand', 'Visual arts', 'Plant']",['Insect']
https://pbs.twimg.com/media/ESDmqexUwAAd9VS?format=png&name=small,"['person', 'outdoor', 'water', 'holding', 'human face', 'clothing', 'smiling', 'glasses', 'posing']","['African grey', 'Greater Swiss Mountain dog']","['Water', 'Glasses', 'Smile', 'Sky', 'Vertebrate', 'Plant', 'Nature', 'Natural environment', 'Vision care', 'Tree']","['Glasses', 'Person', 'Top', 'Clothing']"
https://pbs.twimg.com/media/ETy86zKWkAMYboA?format=jpg&name=medium,"['ground', 'invertebrate', 'outdoor', 'bee', 'beetle', 'pest', 'arthropod', 'animal', 'crab', 'spider', 'wasp', 'hornet', 'ant', 'eumenidae', 'membrane-winged insect', 'insect', 'parasite', 'shellfish', 'yellow', 'sphecidae', 'macro photography']",['bee'],"['Eye', 'Arthropod', 'Insect', 'Pollinator', 'Asphalt', 'Road surface', 'Grass', 'Pest', 'Terrestrial animal', 'Wood']",['Bee']
https://pbs.twimg.com/media/EVWC-jUXsAIIQ8y?format=jpg&name=medium,"['indoor', 'text', 'items', 'different', 'several']","['harmonica', 'space bar']","['Musical instrument', 'Liquid', 'Electronic instrument', 'Guitar', 'Bottle', 'Gadget', 'Audio equipment', 'Plastic bottle', 'Office equipment', 'Gas']","['Packaged goods', '2D barcode']"
https://pbs.twimg.com/media/EVP-R0AU0AAAJ8Y?format=jpg&name=large,"['outdoor', 'invertebrate', 'animal', 'insect', 'wooden', 'beetle', 'wood']",['long-horned beetle'],"['Insect', 'Arthropod', 'Pest', 'Wood', 'Terrestrial animal', 'Invertebrate', 'Parasite', 'Beetle', 'Wildlife', 'Electric blue']",['Insect']
https://pbs.twimg.com/media/EVfEKC3X0AYlCCI?format=jpg&name=large,"['invertebrate', 'animal', 'insect', 'beetle', 'fly', 'outdoor object']","['honeycomb', 'long-horned beetle']","['Insect', 'Arthropod', 'Pollinator', 'Amber', 'Organism', 'Yellow', 'Line', 'Pest', 'Honeybee', 'Parasite']",['Insect']
https://pbs.twimg.com/media/EVuYuYkWkAAbM9o?format=jpg&name=medium,"['tree', 'outdoor', 'invertebrate', 'insect', 'nature', 'reptile', 'plant']","['cucumber', 'sea cucumber']","['Insect', 'Arthropod', 'Pollinator', 'Leaf', 'Organism', 'Terrestrial plant', 'Pest', 'Plant', 'Plant pathology', 'Wood']",['Insect']
https://pbs.twimg.com/media/EV_CBcKXYAA-kXS?format=jpg&name=900x900,"['invertebrate', 'outdoor', 'green', 'insect', 'animal', 'beetle', 'plant', 'arthropod']",['bee'],"['Pollinator', 'Insect', 'Arthropod', 'Plant', 'Leaf', 'Pest', 'Flowering plant', 'Parasite', 'Honeybee', 'Membrane-winged insect']",['Bee']
https://pbs.twimg.com/media/EXV9Wb_UwAAS7_Z?format=jpg&name=small,"['invertebrate', 'animal', 'bee', 'insect', 'beetle', 'pest', 'arthropod', 'fly', 'spider']","['fly', 'bee']","['Arthropod', 'Pollinator', 'Insect', 'Finger', 'Beetle', 'Plant', 'Honeybee', 'Pest', 'Parasite', 'Membrane-winged insect']",['Insect']
https://pbs.twimg.com/media/EXmI2bFXYAAom57?format=jpg&name=900x900,"['wooden', 'outdoor', 'wood', 'invertebrate', 'beetle', 'animal', 'spider', 'bee', 'pest', 'arthropod', 'insect', ""wasp's nest"", 'outdoor object', 'trunk']","['bee', 'cicada', 'honeycomb']","['Arthropod', 'Insect', 'Wood', 'Grey', 'Pest', 'Parasite', 'Honeybee', 'Net-winged insects', 'Terrestrial animal', 'Membrane-winged insect']",['Insect']
https://pbs.twimg.com/media/EW8BMEsWsAYd9SY?format=jpg&name=medium,"['invertebrate', 'ground', 'bee', 'outdoor', 'insect', 'wasp', 'animal', 'pest', 'yellow', 'membrane-winged insect', 'eumenidae', 'hornet', 'arthropod', 'fly', 'sphecidae', 'pollinator', 'honeybee', 'outdoor object', 'net-winged insects']","['honeycomb', 'bee']","['Arthropod', 'Pollinator', 'Insect', 'Organism', 'Honeybee', 'Pest', 'Parasite', 'Terrestrial animal', 'Membrane-winged insect', 'Close-up']",['Bee']
https://pbs.twimg.com/media/EYYnDbjU4AIPL2I?format=jpg&name=medium,"['invertebrate', 'ground', 'yellow', 'animal', 'bee', 'insect', 'fly', 'pest', 'arthropod', 'pollinator', 'wasp', 'membrane-winged insect', 'net-winged insects', 'dragonfly', 'eumenidae', 'hornet']",['bee'],"['Pollinator', 'Insect', 'Arthropod', 'Honeybee', 'Organism', 'Pest', 'Parasite', 'Membrane-winged insect', 'Macro photography', 'Invertebrate']",['Bee']
https://pbs.twimg.com/media/EaQDjbCXYAMM1G-?format=jpg&name=medium,"['invertebrate', 'animal', 'insect', 'bee', 'yellow', 'fly', 'spider', 'arthropod']",['bee'],"['Pollinator', 'Eye', 'Arthropod', 'Insect', 'Honeybee', 'Pest', 'Wing', 'Terrestrial animal', 'Parasite', 'Bumblebee']",['Insect']
https://pbs.twimg.com/media/EaJ1OriWoAMNnj3?format=jpg&name=medium,"['invertebrate', 'yellow', 'fly', 'bee', 'outdoor object', 'pest', 'wasp', 'arthropod', 'animal', 'membrane-winged insect', 'eumenidae', 'dragonfly', 'hornet', 'net-winged insects', 'spider', 'different', 'beetle', 'sphecidae', 'pollinator', 'insect', 'aerie']","['bee', 'honeycomb']","['Insect', 'Arthropod', 'Pollinator', 'Nature', 'Organism', 'Yellow', 'Pest', 'Honeybee', 'Invertebrate', 'Close-up']","['Bee', 'Animal']"
https://pbs.twimg.com/media/EaVvJDNXYAAtaN0?format=jpg&name=medium,"['invertebrate', 'bee', 'beetle', 'animal', 'plant', 'pest', 'arthropod', 'membrane-winged insect', 'wasp', 'macro photography', 'pollinator', 'insect', 'fly', 'eumenidae', 'leaf', 'dragonfly', 'spider', 'ant', 'hornet', 'net-winged insects', 'parasite']",['bee'],"['Plant', 'Terrestrial plant', 'Flower', 'Pest', 'Arthropod', 'Flowering plant', 'Parasite', 'Plant pathology', 'Macro photography', 'Fruit tree']",['Bee']
https://pbs.twimg.com/media/EaE_vuAXsAMawLm?format=jpg&name=medium,"['invertebrate', 'animal', 'dragonfly', 'insect', 'fly', 'arthropod', 'spider', 'pest', 'net-winged insects', 'beetle', 'dragonflies and damseflies', 'outdoor object']","['bee', 'fly']","['Arthropod', 'Insect', 'Organism', 'Pollinator', 'Pest', 'Adaptation', 'Invertebrate', 'Parasite', 'Wildlife', 'Close-up']",['Bee']
https://pbs.twimg.com/media/EcpaVgiWkAAXoMJ?format=jpg&name=small,"['screenshot', 'text', 'abstract', 'human face', 'person']",['web site'],"['Nose', 'Product', 'Eyelash', 'Font', 'Screenshot', 'Software', 'Multimedia', 'Advertising', 'Brand', 'Web page']","['Person', 'Clothing']"
https://pbs.twimg.com/media/EdHdz0xXYAAvWqX?format=jpg&name=medium,"['invertebrate', 'insect', 'animal', 'bee', 'floor', 'pest', 'spider', 'arthropod', 'membrane-winged insect', 'fly', 'beetle', 'wasp', 'pollinator', 'hornet']","['bee', 'honeycomb']","['Pollinator', 'Insect', 'Arthropod', 'Terrestrial animal', 'Pest', 'Honeybee', 'Parasite', 'Bumblebee', 'Membrane-winged insect', 'Macro photography']",['Bee']
https://pbs.twimg.com/media/EdDxvvbWkAAO3dy?format=jpg&name=medium,"['outdoor', 'invertebrate', 'insect', 'animal', 'outdoor object', 'fly', 'bee']","['long-horned beetle', 'honeycomb', 'bee', 'fly']","['Pollinator', 'Insect', 'Arthropod', 'Pest', 'Wing', 'horse flies', 'Membrane-winged insect', 'Parasite', 'Fly', 'Net-winged insects']","['Insect', 'Animal']"
https://pbs.twimg.com/media/Ed2ixoeWAAIRJIe?format=png&name=medium,"['invertebrate', 'outdoor object', ""wasp's nest"", 'text', 'animal', 'beetle', 'arthropod', 'pest', 'bee', 'honeycomb', 'wasp', 'insect', 'different']","['honeycomb', 'cicada', 'cockroach']","['Insect', 'Arthropod', 'Pollinator', 'Pest', 'Terrestrial animal', 'Salamander', 'Parasite', 'Membrane-winged insect', 'Terrestrial plant', 'Font']","['Insect', 'Animal']"
https://pbs.twimg.com/media/EdwXFkMXsAAjL6a?format=jpg&name=medium,"['ground', 'invertebrate', 'yellow', 'outdoor', 'outdoor object', 'insect', 'wasp', 'bee', 'pest', 'arthropod', 'animal', 'eumenidae', 'beetle', 'hornet', 'membrane-winged insect']",['honeycomb'],"['Insect', 'Arthropod', 'Honeybee', 'Pest', 'Terrestrial animal', 'Cricket-like insect', 'Parasite', 'Membrane-winged insect', 'wasp', 'Net-winged insects']",['Insect']
https://pbs.twimg.com/media/Ee9t1cuWAAgk04F?format=jpg&name=medium,"['invertebrate', 'ground', 'outdoor object', 'yellow', 'outdoor', 'bee', 'beetle', 'insect', ""wasp's nest"", 'pest', 'honeycomb', 'wasp', 'animal', 'arthropod', 'eumenidae', 'membrane-winged insect', 'hornet', 'ant', 'sphecidae', 'spider', 'pollinator', 'fly']","['honeycomb', 'cicada']","['Insect', 'Pollinator', 'Arthropod', 'Eye', 'Organism', 'Pest', 'Wood', 'Honeybee', 'Parasite', 'Plant']",['Insect']
https://pbs.twimg.com/media/Ee6FFWJXYAEij9X?format=jpg&name=900x900,"['insect', 'invertebrate', 'animal', 'outdoor', 'butterfly', 'moths and butterflies', 'lepidoptera']",['lacewing'],"['Pollinator', 'Arthropod', 'Insect', 'Moths and butterflies', 'Pest', 'Parasite', 'Macro photography', 'Fly', 'Invertebrate', 'Net-winged insects']",['Moths and butterflies']
https://pbs.twimg.com/media/EgCIbLBX0AEyok7?format=jpg&name=900x900,"['tree', 'insect', 'flower', 'invertebrate', 'plant', 'bee']","['bee', 'fly', 'long-horned beetle']","['Flower', 'Plant', 'Pollinator', 'Insect', 'Arthropod', 'White', 'Botany', 'Petal', 'Pest', 'Flowering plant']","['Bee', 'Flower', 'Insect']"
https://pbs.twimg.com/media/EhAKK4pWAAADXqZ?format=jpg&name=900x900,"['grass', 'outdoor', 'invertebrate', 'animal', 'bee', 'insect', 'pest', 'arthropod']",['bee'],"['Pollinator', 'Insect', 'Arthropod', 'Plant', 'Grass', 'Honeybee', 'Terrestrial animal', 'Pest', 'Invertebrate', 'Terrestrial plant']","['Bee', 'Insect']"
https://pbs.twimg.com/media/EhpY3bsX0AEaSf2?format=jpg&name=small,"['ground', 'invertebrate', 'outdoor', 'animal', 'yellow', 'insect', 'beetle', 'arthropod', 'outdoor object']","['honeycomb', 'bee']","['Head', 'Insect', 'Eye', 'Arthropod', 'Pollinator', 'Honeybee', 'Pest', 'Wing', 'Parasite', 'Membrane-winged insect']",['Insect']
https://pbs.twimg.com/media/EiNzOD0WoAALW2e?format=jpg&name=900x900,"['invertebrate', 'animal', 'spider', 'arthropod', 'beetle', 'pest', 'insect']","['barn spider', 'black widow']","['Arthropod', 'Insect', 'Spider', 'Terrestrial animal', 'Widow spider', 'Arachnid', 'Pest', 'Parasite', 'Tangle-web spider', 'Macro photography']",['Insect']
