image url,microsoft azure labels,gluon labels,google label description,google object detection
https://pbs.twimg.com/media/ErtB6AyW4AMncjR?format=jpg&name=small,"['outdoor', 'tree', 'sky', 'landscape', 'snow', 'nature', 'winter', 'plant', 'day', 'shore']","['lakeside', 'worm fence']","['Plant', 'Sky', 'Natural landscape', 'Twig', 'Snow', 'Wood', 'Tree', 'Trunk', 'Grass', 'Landscape']",[]
https://pbs.twimg.com/media/Ers41vGVoAMjQcT?format=jpg&name=medium,"['person', 'dress', 'clothing', 'fashion', 'smile', 'woman', 'outdoor', 'fashion accessory', 'girl', 'footwear', 'miniskirt', 'high heels', 'human face', 'sandal', 'trousers', 'waist', 'skirt']",['gown'],"['Hair', 'Joint', 'Hairstyle', 'Photograph', 'Shoulder', 'White', 'Leg', 'Green', 'One-piece garment', 'Black']","['Pants', 'Hat', 'Person', 'Skateboard', 'Shoe', 'Top', 'Dress', 'Luggage & bags']"
https://pbs.twimg.com/media/Ers5qC0VQAMrl0U?format=jpg&name=900x900,"['person', 'human face', 'woman', 'girl', 'clothing', 'smile', 'bottle', 'soft drink', 'drink']",[],"['Hair', 'Smile', 'Skin', 'Lip', 'Hairstyle', 'Photograph', 'Facial expression', 'Bottle', 'Human', 'Water bottle']","['Person', 'Bottle']"
https://pbs.twimg.com/media/ErubPezXAAMnKWb?format=jpg&name=large,"['cartoon', 'drawing', 'text', 'art', 'child art', 'sketch', 'poster', 'painted', 'painting']",['comic book'],"['Brown', 'Orange', 'Organism', 'Art', 'Gesture', 'Painting', 'Wood', 'Creative arts', 'Cartoon', 'Rectangle']","['Packaged goods', 'Animal']"
https://pbs.twimg.com/media/Es661CxWMAU857n?format=jpg&name=small,"['indoor', 'text', 'book', 'food']",['packet'],"['Green', 'Ingredient', 'Household supply', 'Event', 'Plastic', 'Natural foods', 'Packaging and labeling', 'Comfort food', 'Snack', 'Flooring']",['Packaged goods']
https://pbs.twimg.com/media/Es7DawAXMAA2e1z?format=jpg&name=large,"['person', 'clothing', 'man', 'sport', 'athletic game', 'player', 'human face', 'concert', 'dance']",['ballplayer'],"['Gesture', 'Musician', 'T-shirt', 'Entertainment', 'Music', 'Performing arts', 'Event', 'Music artist', 'Fun', 'Baseball cap']","['Person', 'Hat', 'Clothing', 'Top']"
https://pbs.twimg.com/media/Es5TM3tW4AMJQoI?format=jpg&name=large,"['cartoon', 'text', 'rabbit', 'toy', 'handmade', 'plush', 'teddy bear', 'stuffed', 'rabbits and hares', 'doll', 'animal', 'bear', 'stuffed toy']",['teddy'],"['Brown', 'Rabbit', 'Toy', 'Fawn', 'Publication', 'Font', 'Rabbits and Hares', 'Pattern', 'Stuffed toy', 'Event']","['Packaged goods', 'Toy']"
https://pbs.twimg.com/media/Es7imbOVEAA8LO3?format=jpg&name=small,"['outdoor', 'sky', 'tree', 'person', 'car', 'animal', 'land vehicle', 'clothing', 'vehicle', 'dog']","['Tibetan mastiff', 'Leonberg']","['Jeans', 'Wheel', 'Tire', 'Plant', 'Vertebrate', 'Vehicle', 'Dress', 'Sky', 'Tree', 'Car']","['Rabbit', 'Footwear', 'Person', 'Shoe', 'Car', 'Clothing']"
https://pbs.twimg.com/media/EuNhs-nXAAIRJ5B?format=jpg&name=large,"['person', 'indoor', 'baby', 'human face', 'child', 'little', 'boy', 'young', 'toddler']","['nipple', 'bib', 'ice lolly']","['Forehead', 'Nose', 'Cheek', 'Skin', 'Lip', 'Eyebrow', 'Eye', 'Eyelash', 'Mouth', 'Smile']","['Clothing', 'Person']"
https://pbs.twimg.com/media/EuNVUVSXMAAE9Yl?format=jpg&name=small,"['lagomorph', 'mammal', 'rabbit', 'cat', 'bunny', 'animal', 'rabbits and hares', 'domestic rabbit', 'hare', ""audubon's cottontail"", 'mountain cottontail', 'snowshoe hare', 'eastern cottontail', 'pygmy rabbit', 'wood rabbit', 'laying', 'lower keys marsh rabbit', 'bunny rabbit', 'lapin', 'brown hare', 'black tailed jackrabbit']",['wood rabbit'],"['Rabbit', 'White', 'Black', 'Natural environment', 'Rabbits and Hares', 'Organism', 'Fawn', 'Domestic rabbit', 'Grass', 'Ear']","['Rabbit', 'Animal']"
