image url,date taken,image size,dimensions,extension,location,account,description,date accessed
https://live.staticflickr.com/65535/51095572364_e9b62d764e_c.jpg,2021-04-04 22:09:03,NA,"[533, 800]",NA,"long: 130.952291, lat: -12.467089",Michael J. Barritt (44489466@N00),"Title: Cane Toad (Rhinella marina) in mangrove area on the upper reaches of Hudson Creek near Palmerston, Northern Territory, Australia.
Description: ",2021-04-07 15:18:25
https://live.staticflickr.com/65535/51089121676_3666567c54_o.jpg,2021-04-01 20:27:40,NA,"[908, 1600]",NA,NA,Stephen Mudge (56109697@N05),"Title: A very young Cane Toad
Description: Rhinella marina",2021-04-07 15:18:25
https://live.staticflickr.com/65535/51014050635_51c53599b7_o.jpg,2021-03-30 09:53:24,NA,"[2006, 2342]",NA,NA,Philipnsw (140838633@N08),"Title: Blue-banded Bee
Description: Amegilla cingulata

An important bee in Australia which is said to contribute very significantly towards pollination of crop plants as well as natives.

They are capable of stinging but are not aggressive to humans.

They are solitary insects which make their burrow in clay, sandstone or even the mortar in brickwork.

They are found throughout Australia except for Tasmania.  It is prey to a number of frogs, birds and the cane toad.  Its nests are parasited by the Neon Cuckoo Bee which has similar colouring to mimic its target species.

DSC08075 ",2021-04-07 15:18:25
https://live.staticflickr.com/65535/51070269406_9a0b57877f_o.jpg,2020-04-10 20:52:21,NA,"[719, 1067]",NA,NA,Rayan Vascot (192201985@N06),"Title: Female Cane toad (Scientific name: Rhinella marina)
Description: If you watch closely, this Cane toad has a insect Sticked to its tongue, which is about to be eaten.  ",2021-04-07 15:18:26
https://live.staticflickr.com/65535/51061343011_393b7f4bf2_c.jpg,2021-03-14 01:16:14,NA,"[533, 800]",NA,"long: 132.883158, lat: -12.071888",ChrisKirbyCapturePhotography (91031856@N00),"Title: Merten's Water Monitor
Description: A species of lizard found in Northern Australia which have become threatened due to spread of Cane Toads which they eat and ingest the poison. Found in waterways.",2021-04-07 15:18:26
https://live.staticflickr.com/65535/51055438668_c18bd6182d_c.jpg,2021-03-20 21:41:11,NA,"[533, 800]",NA,NA,Julien NKS (101244975@N08),"Title: Cane toad (Rhinella marina)
Description: Cane toads are native to South and Central America and were originally introduced into Australia in 1935 to control destructive beetles in the sugarcane crops of Queensland, with disastrous results. These hardy, poisonous and voracious predators soon became a pest in the northern regions of Australia, competing with native species (and especially native predators, as it is the case in Kakadu National Park).

Mary River - Northern Territory, Australia.",2021-04-07 15:18:27
https://live.staticflickr.com/65535/51048258061_06502469c2_o.jpg,2021-02-05 00:46:13,NA,"[4000, 6000]",NA,NA,Jesse's Wildlife (141679113@N08),"Title: Cane Toad (Rhinella marina). Humpty Doo, NT
Description: ",2021-04-07 15:18:27
https://live.staticflickr.com/65535/51047794432_fb0f1cb735_c.jpg,2019-02-14 18:56:24,NA,"[800, 600]",NA,NA,Andrew Furness (192372687@N03),"Title: Cane toad (Rhinella marina) and fishing spider (genus Trechalea)
Description: San José Province, Costa Rica",2021-04-07 15:18:28
https://live.staticflickr.com/65535/51043531242_256c66785c_c.jpg,2021-02-27 18:57:31,NA,"[600, 800]",NA,NA,Andrew Furness (192372687@N03),"Title: Cane toad (Rhinella marina)
Description: Large cane toad with a deformed front foot. Miami-Dade County, Florida",2021-04-07 15:18:29
https://live.staticflickr.com/65535/51023367288_92a61191fb_c.jpg,2009-10-31 05:07:31,NA,"[800, 600]",NA,NA,Andrew Furness (192372687@N03),"Title: Harlequin beetle (Acricinus longimanus) and Cane toad (Rhinella marina)
Description: ",2021-04-07 15:18:30
