id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
38953,2011-03-18,2011-03-18,,Eastern Time (US & Canada),559,rasaziz,2011-11-13 02:15:54 UTC,2017-04-21 01:54:36 UTC,casual,,http://www.inaturalist.org/observations/38953,https://static.inaturalist.org/photos/64826/medium.JPG,,dromedary,"The dromedary (pronounced /ˈdrɒmədɛəri/ or /ˈdrɒmədri/) or Arabian camel (Camelus dromedarius) is a large, even-toed ungulate with one hump on its back. Its native range is unclear, but it was probably the Arabian Peninsula. The domesticated form occurs widely in North Africa and the Middle East. The world's only population of dromedaries exhibiting wild behaviour is an introduced feral population in Australia.
The dromedary camel is the largest member of the camel family. Other living members of the camel family include the Bactrian camel, as well as the South American species llama, alpaca, vicuña and guanaco. The dromedary has one hump on its back, in contrast to the two humps on the Bactrian camel.

The 14 million dromedaries alive today are domesticated animals (mostly living in the Horn of Africa, the Sahel, Maghreb, Middle East and the Indian subcontinent). The Horn region alone has the largest concentration of camels in the world, where the dromedaries constitute an important part of local nomadic life. They provide peripatetic Somali and Ethiopian people with milk, food and transportation.",3,0,true,,"Adami Tullu, Ethiopia",7.8654223674,38.7130737305,,,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
88015,2012-05-26,2012-05-26,,Pacific Time (US & Canada),5548,kates17,2012-06-05 13:02:48 UTC,2019-08-28 19:48:35 UTC,casual,CC-BY,http://www.inaturalist.org/observations/88015,https://static.inaturalist.org/photos/128460/medium.jpg,,"","This is Mona the camel. She lives at the farm down the road. I know this isn't a wild species, but it is pretty unique to see a camel in the PNW! She has one hump, shaggy fur, and if you get to close she will mistake your hair for food and try to eat it. ",2,0,true,,"san juan island, wa",48.5513671,-123.0781062,13170,13170,,,false,,,Dromedario,Camelus dromedarius,Dromedary Camel,Mammalia,81542
114239,2007-09-13,2007-09-13,,Eastern Time (US & Canada),8532,hwetzler,2012-08-19 05:56:29 UTC,2017-05-20 21:26:30 UTC,casual,CC-BY,http://www.inaturalist.org/observations/114239,https://static.inaturalist.org/photos/163259/medium.JPG,,"","",3,0,true,,"Rutba, Iraq",33.1329513125,40.4736328125,,,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
114244,2007-10-10,2007-10-10,,Eastern Time (US & Canada),8532,hwetzler,2012-08-19 06:14:02 UTC,2017-05-20 21:25:46 UTC,casual,CC-BY,http://www.inaturalist.org/observations/114244,https://static.inaturalist.org/photos/163271/medium.JPG,,"","",4,0,true,,"Karbala, Iraq",32.5051292319,43.2092285156,,,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
153113,2012-11-11,2012-11-11,,Australia/Perth,9028,ryber,2012-11-26 12:31:05 UTC,2019-01-21 17:43:54 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/153113,https://inaturalist-open-data.s3.amazonaws.com/photos/210203/medium.jpg?1353933079,,"",Domesticated animal.,2,0,true,,"Harvey, WA, Australia",-33.0822425,115.9059101,9440,9440,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
201112,2009-01-20,2009-01-20,,Eastern Time (US & Canada),13248,joshanddani,2013-02-18 22:18:38 UTC,2017-05-20 21:35:05 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/201112,https://inaturalist-open-data.s3.amazonaws.com/photos/255293/medium.JPG?1361225957,,mammal,"",4,0,true,,"Al Salam Bridge, Egypt",30.8262281189,32.319996357,,,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
218243,Sun Mar 10 2013 12:48:03 GMT-0500 (CDT),2013-03-10,2013-03-10 17:48:03 UTC,Central Time (US & Canada),13510,jerodgreigh,2013-03-18 16:08:38 UTC,2017-05-20 21:37:04 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/218243,https://inaturalist-open-data.s3.amazonaws.com/photos/274978/medium.jpg?1363622963,,"","Camel, single hump, curly hair",2,0,true,,,,,,,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
386370,2013-08-28 18:45:43,2013-08-28,2013-08-29 01:45:43 UTC,Pacific Time (US & Canada),14651,mrthompsonscience,2013-09-02 22:27:18 UTC,2017-05-20 20:58:01 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/386370,https://inaturalist-open-data.s3.amazonaws.com/photos/483235/medium.jpg?1378160844,,"","",1,0,true,,fairplex pomona ca,34.079447,-117.764297,1797,1797,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
423978,2003-02-04,2003-02-04,,Pacific Time (US & Canada),18222,sullivanribbit,2013-10-10 04:44:56 UTC,2018-04-22 17:10:45 UTC,research,CC-BY,http://www.inaturalist.org/observations/423978,https://inaturalist-open-data.s3.amazonaws.com/photos/534226/medium.jpg?1381380299,,"","",4,0,false,,"Lasseter Highway, Northern Territory, Australia",-25.177602,132.160034,82866,82866,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
428128,2013-10-09,2013-10-09,,Hawaii,24219,lauren95,2013-10-14 01:45:19 UTC,2017-05-20 20:57:14 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/428128,https://inaturalist-open-data.s3.amazonaws.com/photos/539184/medium.JPG?1381715130,,"","Camelus dromedaries 

Range-- throughout the world; originated in Middle East 

Habitat-- mostly domesticated now; farms; wherever herders have taken them; the ones that are still wild  inhabit the dry hot regions of north Africa, Ethiopia, Near East and western to central Asia

Niche-- domesticated ones are mostly used for carrying things; feed mostly on vegetation; hunted by wolves

Have a third eyelid! ",2,0,true,,Nashville Zoo,25.042865,-77.463266,2663,2663,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
