image url,date taken,image size,dimensions,extension,location,account,description,date accessed
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/171580222_1770253476510180_6777765614545888982_n.jpg?tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=Jl0NF57aoRoAX81tm6Y&edm=ALQROFkAAAAA&ccb=7-4&oh=e1307d616854ab7d47528ce7b1dfeb42&oe=6098218B&_nc_sid=30a2ef&ig_cache_key=MjU0OTgwMDk1MzkzMTMxMzg0NA%3D%3D.2-ccb7-4,2021-04-11 22:26:21,NA,NA,NA,NA,bootsy_the_maui_frenchie,"So, this is a pretty important little story about Bootsy and a cane toad. It was 11:30 pm, I took the pups out. I looked over and Boots had a cane toad in her mouth. I scooped her up and called the emergency vet which is an hour away. After a crazy night of seizures, foaming at the mouth, and trips. Here is what I learned and important things to know: 
* if you see the toad, immediately flush the dogs mouth and do not let them swallow the water 
*induce vomiting with hydrogen peroxide 
*take a soft toothbrush and dip it in peroxide; brush the dogs tongue and gums; flush again
*if can, take dog to vet to get iv
*if can’t, monitors dog
* if dog survives first 30 minutes, they are out of the dark, just tripping and time will heal
Sorry for the long post, but it may save your baby!
#frenchbulldog #frenchiesofinstagram #canetoad #maui #luckywelivehawaii #poison #trippy #flush #puppiesofinstagram #puppy #puppylove #mygirl #boots #love #medical",2021-04-12 12:50:42
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/171199771_2971418446474065_273411777310012972_n.jpg?se=7&tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=gLc9s3pz4_oAX-gDfkX&edm=ALQROFkAAAAA&ccb=7-4&oh=edcbfd2ff1e5096d2233a742b6d085fb&oe=609A7A34&_nc_sid=30a2ef&ig_cache_key=MjU0OTczNTU1ODkwMzk0ODc1MA%3D%3D.2-ccb7-4,2021-04-11 20:16:26,NA,NA,NA,NA,fishnthat,"Today is national pet day so we thought we would put together a collage featuring some of our pets

#nationalpetday #nationalpetsday #nationalpetsday2021 #petsofinstagram #pets #dog #collie #pug #cat #gingercat #blackandwhitecat #tenric #hedgehog #tarantula #snake #gecko #monitorlizard #treefrogs #dartfrogs #bullfrog #canetoad #frogs #newts #salamanders #reptiles #amphibians #scorpion #arachnid #millipede #petlovers",2021-04-12 12:50:59
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/172455574_1090136354731536_2900063177601039398_n.jpg?se=7&tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=dHRF7zRz7iwAX9EEPOJ&edm=ALQROFkAAAAA&ccb=7-4&oh=2520d367fa1d13f2b71ea0b1b48bbad8&oe=609A2CD5&_nc_sid=30a2ef&ig_cache_key=MjU0OTYzNjYzOTYxNTgwOTAyNQ%3D%3D.2-ccb7-4,2021-04-11 16:59:54,NA,NA,NA,NA,incrediblefacts4u,"Share this with your friends 👫
▫️
Follow 👇 for more 
@incrediblefacts4u
@incrediblefacts4u
@incrediblefacts4u
@incrediblefacts4u
▫️
Like Comment  Share
▫️
*📷 respected owner 
* DOUBLE TAP for more amazing facts&posts 👌
* Check out my story too.
~~~~~~~~~
#facts#truth #world 
#knowledgeisfree #knowledge 
#knowledgeispower #canetoad #facts💯 #factz#factoftheday 
#freefacts #facts  #incrediblefacts4u #if4u #factsforlife #science 
#snakeeater
 #factsforall #unknownfacts 
#mysterious #k4knowledge
 #amazing #unbelivable
 #dailyknowledge #dailyfacts 
#viralposts #instafacts 
#incrediblefacts #funfacts
 #allfacts💯 #snake🐍",2021-04-12 12:51:12
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/171813284_814008179471668_5381364301940208966_n.jpg?tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=LCZ4jp695_AAX-Te4Ot&edm=ABZsPhsAAAAA&ccb=7-4&oh=329f826f104c32804f7fd4bcd793bbf2&oe=609A73D7&_nc_sid=4efc9f,2021-04-11 16:23:20,NA,NA,NA,NA,weecrittersni,"🐾 IT’S NATIONAL PET DAY! 🐾
Many of you will know the joy and happiness that your pets bring you.

Here at Wee Critters we encourage everyone to thoroughly research any animal from a goldfish to a dog, before welcoming them to your home.

Unfortunately, a number of our Wee Critters came to us because they were no longer wanted or cared for. 

🐍Nagini the common boa was abandoned on the side of a main road and rescued by a friend of mine before coming to live with me. 🐍

🐸We were asked to rehome Trevor the cane toad and when he came to us he had not been fed for months.  He was starving and emaciated and we didn’t know if he would survive but with a healthy diet and some tlc he quickly became a much loved and happy member of our family.  He now lives happily with Ron and Neville our other Cane toads.  We think he is TOAD-ally awesome! 🐸

🦎Elliott the Argentine black and white tegu became too big for his previous owner and they could no longer give him the care that he needed.  He quickly settled into life with us and apart from being grumpy when he’s hungry he is a lovely big guy with a great personality! 🦎

🐢We have also provided a home for Theo and Esio Trot the tortoises.  Many people don’t realise how long tortoises live and it really is a lifelong commitment.  We were happy to add this pair to our family when their previous owners could no longer care for them. 🐢

We respect any individual who rehomes an animal when they realise that they cannot give it the care required and it is always vital to approach professionals who are more than willing to help.  There is never an excuse for abandoning a poor animal like Nagini was and we are just lucky she survived as we can’t imagine life without all of our wee critter friends.

Always think carefully before choosing any pet and consider whether you have the time, resources, space, experience and commitment to care for the animal. If you ever find yourself in a position that you can no longer care for a pet, approach someone responsible and qualified to assist you in finding the animal a suitable new home.
#petday #nationalpetday #pet #animal #animals #weecrittersni #tegu #tortoise #canetoad",2021-04-12 12:51:28
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/171768448_446624023297437_1422165660361190994_n.jpg?se=7&tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=ZOmNoebNytgAX9ZS8fN&edm=ALQROFkAAAAA&ccb=7-4&oh=e327c3e4d0f3a7b4cc5c53b8cca25099&oe=6098994D&_nc_sid=30a2ef&ig_cache_key=MjU0OTQ4NzI2ODk4NDI1OTk1OQ%3D%3D.2-ccb7-4,2021-04-11 12:03:07,NA,NA,NA,NA,scaley_babiies,Gibby 🥺 trying to work on getting this little guy more used to me cause he still has a habit of peeing on me when I get him out 🙄😂 #gibbythetoad #canetoad #canetoadsofinstagram #toad #toadsofinstagram #amphibians #amphibiansofinstagram #reptilelover #reptilekeeper #reptiles #reptilesofinstagram,2021-04-12 12:51:40
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/170703645_1325792324466361_6969079019067802921_n.jpg?se=7&tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=7g9lmwVC-oMAX9Z5n-9&edm=ALQROFkAAAAA&ccb=7-4&oh=b115001002178f4271139d09be53349f&oe=6099A06F&_nc_sid=30a2ef&ig_cache_key=MjU0OTQ1NzUzNzY2ODkzOTE2Nw%3D%3D.2-ccb7-4,2021-04-11 11:04:03,NA,NA,NA,"long: 27.4952777778, lat: 53.9094444444",exotic_animals_minsk,"Сегодня Морфей переехал в новый террариум 💚

.
.
.

#экзотическиеживотные
#зоомир #животные #жаба #жабаага #дети #тростниковаяжаба #минск #беларусь #exoticanimals #animals #exotic #minsk #belarus #animal #animallover #nature #pet #petofinstagram #photooftheday #canetoad #земноводные #animalofinstagram #europe #marinetoad #экология #зоология #животныеминск #друзья",2021-04-12 12:51:55
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/170859471_730738564267481_4922302876499962180_n.jpg?tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=mjN19buUc88AX9iZWi7&edm=ABZsPhsAAAAA&ccb=7-4&oh=e3ee03d49cadad83d825b557af7f2ce2&oe=6099A0E6&_nc_sid=4efc9f,2021-04-11 08:50:51,NA,NA,NA,"long: 135.0, lat: -25.0",animallover.d,"🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺1
🌟 CANE TOAD 🌟
.
(Rhinella marina), also known as the giant neotropical toad or marine toad, is a large, terrestrial true toad.
.
💕SIZE AND LIFESPAN:
.
generally range in size from 6 to 9 inches in length.  can live upto 10 – 15 years In the wild
.
🏵DISTRIBUTION:
.
native to South and mainland Central America, but which has been introduced to various islands throughout Oceania and the Caribbean, as well as Northern Australia. 
.
🌳HABITATS:
.
inhabits open grassland and woodland, and has displayed a ""distinct preference"" for areas modified by humans, such as gardens and drainage ditches. In their native habitats, the toads can be found in subtropical forests, although dense foliage tends to limit their dispersal.
.
🌾FEEDING:
.
are omnivores and eat a variety of vegetation, insects, small birds, other toads or frogs, lizards, small mammals, and snakes.
.
☘BREEDING:
.
lay their eggs in still or slow flowing water. Females can produce between 8,000 – 35,000 eggs at a time and usually breed twice a year. The eggs hatch after a couple of days and tiny tadpoles emerge.
.
☠PREDATORS:
.
it has many natural predators. Caimans (a relative of the crocodile), snakes, birds, and even fish prey on the cane toad.
.
🟢CONSERVATION STATUS🟢
Least Concern (IUCN 3.1)
.
💡SCIENTIFIC CLASSIFICATION:-
.
Kingdom : Animalia
Phylum :  Chordata
Class : Amphibia
Order :  Anura
Family :  Bufonidae
Genus :  Rhinella
Species :  R. marina
.
.
#canetoad 
#giantneotropicaltoad 
#marinetoad
#animalloverd #explorepage #featured
#wildlifereels #trendingreels #viralpost #viralreels #animalovers  #animals #animalplanetindia 
#wildgeography #wildlifeshots
#wildlifetrust #wildlifeindia #santuaryasia #wildlifeofindia #followforfollowback #photooftheday #safari #instanature #ngtindia #netgioindia #bird_brilliance #animallover",2021-04-12 12:52:16
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/172700075_579330599704518_3023038598328629936_n.jpg?tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=9hTB47vP41UAX-GjIFk&edm=ABZsPhsAAAAA&ccb=7-4&oh=29e38e53bdbd9d7db88a72f12fd5ae2d&oe=609790FD&_nc_sid=4efc9f,2021-04-11 02:32:46,NA,NA,NA,NA,charlenescresties,Emerald✨ #crestedgeckos #geckos #reptiles #crestedgeckosofinstagram #geckosofinstagram #cresties #crestiesofinstagram #reptilesofinstagram #correlophusciliatus #chinesewaterdragon #canetoad #lillywhite #ballpython #snake #lillywhitecrestedgeckos #geckobreeder #beardeddragon #beardies #beardiesofinstagram #whitestreefrog #dumpyfrog #reptilekeeper #tiktok #amphibian #firebellytoad #toad #frog #bombina #leopardgecko,2021-04-12 12:52:36
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/171186512_1622608577938006_5631536433412642183_n.jpg?se=7&tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=rvOGTxd0qYwAX_IgM16&edm=ALQROFkAAAAA&ccb=7-4&oh=af627178cb604dc8d7f987c7bbfc8b47&oe=60975E37&_nc_sid=30a2ef&ig_cache_key=MjU0OTE2MzQ3MjMwMzA0NDY0Mw%3D%3D.2-ccb7-4,2021-04-11 01:19:48,NA,NA,NA,NA,mammahealing,"Camouflage. Canetoads are brilliant at it. With ponds and puddles about to dry up throughout the Top End, if you have a permanent low water feature now is the time to really keep an eye on it as all water loving and reliant creatures will sniff it out. We often go spot lighting just after dark and I then check again early in the morning. Any canetoads found are turned into fertiliser.
It's also a great time to introduce a frog hotel (or maybe a few of them) to your garden to house green tree frogs through the dry season. By night the tree frogs will help to clear out the pesky foliage eating caterpillars that like your veggies. 

#pondlife #canetoad #pestcontrol #recycling",2021-04-12 12:52:48
https://instagram.fcbr1-1.fna.fbcdn.net/v/t51.2885-15/e35/172118042_439282600708410_4318009520750838003_n.jpg?se=7&tp=1&_nc_ht=instagram.fcbr1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=LhSZxFF5Zu8AX8fxJl9&edm=ALQROFkAAAAA&ccb=7-4&oh=bf40e749d2ea6a61d93bf93b5b103507&oe=6099DC6B&_nc_sid=30a2ef&ig_cache_key=MjU0ODc5NjE2NzEzNjU0MDM2Nw%3D%3D.2-ccb7-4,2021-04-10 13:10:02,NA,NA,NA,"long: 106.77885, lat: -6.34784",factsworld_0,"Like and share 
#canetoad #cane #toad #post",2021-04-12 12:53:01
