image url,date taken,image size,dimensions,extension,location,account,description,date accessed
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/170158842_751209228872341_8749827943735892782_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=101&_nc_ohc=t-xSMUThhgYAX8KPkJs&edm=ABZsPhsAAAAA&ccb=7-4&oh=7fbd378ceab465e2514c660ae4067c3b&oe=609822DC&_nc_sid=4efc9f,2021-04-10 01:13:27,3499233,"(1080, 1080)",JPEG,NA,sandraslittlefarmnz,"Could it really be this easy? A sterilised jar, oil, herbs and store in a dark place for a month?  I’ll let you know in a few weeks!

#buyingalifestyleblock
#whatanimalswouldsuitmylifestyleblock
#nzfarm
#nzlifestyleblock
#creatingavegetablegarden
#rescuedogs
#bottlingfruit 
#lifestoshort
#buildingafence
#germanwasp
#recycledgreenhouse
#wormfarm 
#clouds
#virga
#thunderstorms
#americanbulldog
#thripsonrhododendrons
#fertiliseronpasture 
#kawakawa
#cymbidiumorchids
#curingbacon
#tui
#cruciateligament
#cruciatesurgeryrecovery
#boronia
#glutenfreecinnamonrolls
#diypicnictable",2021-04-10 17:07:38
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/170080422_288964159533882_1652444046154340217_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=X4bT_plBnGkAX9n6Ypj&edm=ABZsPhsAAAAA&ccb=7-4&oh=a7d47d11a499ac771d705e67bd6b2546&oe=609859F8&_nc_sid=4efc9f,2021-04-08 19:09:17,3495993,"(1080, 1079)",JPEG,NA,sandraslittlefarmnz,"Annoyingly, I’ve not been able to get onto IG since the last update. Kept kicking me out after about five secs.  Finally working for me again so catching up... 
Completely missed my opportunity to practice photographing the full moon due to rain, so played with the rising sun.🌞

#buyingalifestyleblock
#whatanimalswouldsuitmylifestyleblock
#nzfarm
#nzlifestyleblock
#creatingavegetablegarden
#rescuedogs
#bottlingfruit 
#lifestoshort
#buildingafence
#germanwasp
#recycledgreenhouse
#wormfarm 
#clouds
#virga
#thunderstorms
#americanbulldog
#thripsonrhododendrons
#fertiliseronpasture 
#kawakawa
#cymbidiumorchids
#curingbacon
#tui
#cruciateligament
#cruciatesurgeryrecovery
#boronia
#glutenfreecinnamonrolls
#diypicnictable",2021-04-10 17:07:50
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/168575232_1119014115282251_8559823909132926373_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=SSgVU7S-YlEAX9LsquY&edm=ABZsPhsAAAAA&ccb=7-4&oh=3947f421eb3d7d889e1c33f2286ff452&oe=6095E445&_nc_sid=4efc9f,2021-04-05 16:01:59,3499233,"(1080, 1080)",JPEG,NA,rangeday_nz,"Here’s the full story: two underground German wasp nest behind my retaining wall in the backyard were discovered this summer and today, a 3rd massive colony nest hanging under the tree was found in the front of my yard. Used an inspection camera to poke thru the wall gap to see what was happening inside, and a night vision camera to check on the overhanging one without spooking them with light. Videos and photos are in sequential order showing the eradication of all three colonies. 

#wasp #germanwasp #newzealandlife #kiwisummer #kiwicare",2021-04-10 17:08:00
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/165980975_223187396261354_4596288856881763994_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Z7nzKoxHH9kAX_ikIGK&edm=ALQROFkAAAAA&ccb=7-4&oh=82eb77e0322008843546677b811f4f49&oe=60951E00&_nc_sid=30a2ef&ig_cache_key=MjU0MDY5MDM0NTkyMzI4NDkyOA%3D%3D.2-ccb7-4,2021-03-30 08:45:12,6207873,"(1440, 1437)",JPEG,NA,sandraslittlefarmnz,"Such a dreary day today and howling rain forecast for tomorrow.  Gawd, I’ll have to do the ironing ☹️ 

#buyingalifestyleblock
#whatanimalswouldsuitmylifestyleblock
#nzfarm
#nzlifestyleblock
#creatingavegetablegarden
#rescuedogs
#bottlingfruit 
#lifestoshort
#buildingafence
#germanwasp
#recycledgreenhouse
#wormfarm 
#clouds
#virga
#thunderstorms
#americanbulldog
#thripsonrhododendrons
#fertiliseronpasture 
#kawakawa
#cymbidiumorchids
#curingbacon
#tui
#cruciateligament
#cruciatesurgeryrecovery
#boronia
#glutenfreecinnamonrolls
#diypicnictable",2021-04-10 17:08:16
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/166364220_5058624560820641_1512186605449981361_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=h9BwCJ_hcFkAX_kNRJp&edm=ABZsPhsAAAAA&ccb=7-4&oh=8821c75e8765a01b7fe3688d93484f12&oe=6096345A&_nc_sid=4efc9f,2021-03-29 21:06:39,3492753,"(1080, 1078)",JPEG,NA,sandraslittlefarmnz,"Flynn, he couldn’t figure out if he was being a good boy or not!  I threw some ice onto the lawn to melt and did have a fleeting thought of dog tongues stuck to ice, but I really should have known better 😂

#buyingalifestyleblock
#whatanimalswouldsuitmylifestyleblock
#nzfarm
#nzlifestyleblock
#creatingavegetablegarden
#rescuedogs
#bottlingfruit 
#lifestoshort
#buildingafence
#germanwasp
#recycledgreenhouse
#wormfarm 
#clouds
#virga
#thunderstorms
#americanbulldog
#thripsonrhododendrons
#fertiliseronpasture 
#kawakawa
#cymbidiumorchids
#curingbacon
#tui
#cruciateligament
#cruciatesurgeryrecovery
#boronia
#glutenfreecinnamonrolls
#diypicnictable",2021-04-10 17:08:26
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/164696083_885549598962991_4524136463831443596_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=jlJmLLiNeSwAX9braWV&edm=ABZsPhsAAAAA&ccb=7-4&oh=aca7498b3ccf7e5f80b94f5b999a98b6&oe=60970C99&_nc_sid=4efc9f,2021-03-27 20:22:20,3499233,"(1080, 1080)",JPEG,"long: -25.6998736347, lat: 37.7657329551",estrinka,"Flower belly 
#vespulagermanica #bombus #germanwasp #bumblebee #inmybackyard #countryside #nature #arrifes #azores",2021-04-10 17:08:41
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/164910974_103260428483212_4202989397973129916_n.jpg?se=8&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=Axb4nn00h9kAX8xxu9D&edm=ALQROFkAAAAA&ccb=7-4&oh=4d41e63260c3d9bd71f6d01c9095623d&oe=60960135&_nc_sid=30a2ef&ig_cache_key=MjUzODA3NTE1NDU0OTgzMzIyNA%3D%3D.2-ccb7-4,2021-03-26 18:09:17,1973196,"(811, 811)",JPEG,NA,jayanttattoo,"Vespula vulgaris, known as the common Wasp,common yellow-jacket.
NOT A BEE..♥☺📷 Wasp symbolizes the development and management of other forms of life.

#wasp

#wasp #vespula #germanwasp #wasps #thewasp #yellowjacket #notabee #blackandyellow #waspedit #wings #horn #nature #naturephotography #insect #insectsphotography #naturelovers #macro #macrophotography #mobilephotography #mobileclick #photo #photography #edits #insta #instacreator #instagram",2021-04-10 17:08:58
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/165080205_792359498359092_1794503060170467527_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=UBjCaCQYoRQAX8Y_iER&edm=ABZsPhsAAAAA&ccb=7-4&oh=dad60704a6a6d8e243d509173c58e17b&oe=609649EF&_nc_sid=4efc9f,2021-03-26 17:40:07,2394393,"(1080, 739)",JPEG,NA,msk.shots,"Eye To Eye of a German Wasp!

#sonya6000 #sonylpha #sony #germanwasp #macroinsect #macro #macrolover #insectpic #insectlover #insect_chasing #insect_chasing#insect_perfection #insect_macro #insectphoto #insectphotography #insectsofinstagram #insects_of_our_world #insectgram #macro_insects #photoshop",2021-04-10 17:09:09
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/163265426_943477619789442_5157005022989492439_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=5i1CtTPXbHIAX8MZpLK&tn=CFN-y2aLS9Va3mKe&edm=ABZsPhsAAAAA&ccb=7-4&oh=e4e66bfd65b58ceb96491090732f1835&oe=6097B35C&_nc_sid=4efc9f,2021-03-21 23:51:10,3499233,"(1080, 1080)",JPEG,NA,sandraslittlefarmnz,"Trespassers will be composted!
These two plants have appeared for the first time on our block.  One on the side of the driveway and one in a weeded garden bed.  They’re both attractive and look Cottage gardeney but they’ve got to go! 

#buyingalifestyleblock
#whatanimalswouldsuitmylifestyleblock
#nzfarm
#nzlifestyleblock
#creatingavegetablegarden
#rescuedogs
#bottlingfruit 
#lifestoshort
#buildingafence
#germanwasp
#recycledgreenhouse
#wormfarm 
#clouds
#virga
#thunderstorms
#americanbulldog
#thripsonrhododendrons
#fertiliseronpasture 
#kawakawa
#cymbidiumorchids
#curingbacon
#tui
#cruciateligament
#cruciatesurgeryrecovery
#boronia
#glutenfreecinnamonrolls
#diypicnictable",2021-04-10 17:09:21
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/160608125_437721774120601_5088593210583697630_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=101&_nc_ohc=6EGxNw9bpgwAX_4_x9u&edm=ALQROFkAAAAA&ccb=7-4&oh=1667285e9eb20a3c208a023660baa5e8&oe=60964D00&_nc_sid=30a2ef&ig_cache_key=MjUzMTI2NDgzMDgyOTQ3NDY5Mw%3D%3D.2-ccb7-4,2021-03-17 08:38:23,7776033,"(1440, 1800)",JPEG,NA,sandraslittlefarmnz,"Evening Primrose, I’m beginning to loathe the stuff!  My boot is at the end of the root and the little red leaf is at ground level of this ‘baby’ plant!  And they’re sprouting up everywhere 😱  The adult plant splays out horizontally from the roots and just snaps off at ground level when you try to pull it out. 😡 I can’t get this area cleared quick enough and the weedmat down.

#buyingalifestyleblock
#whatanimalswouldsuitmylifestyleblock
#nzfarm
#nzlifestyleblock
#creatingavegetablegarden
#rescuedogs
#bottlingfruit 
#lifestoshort
#buildingafence
#germanwasp
#recycledgreenhouse
#wormfarm 
#clouds
#virga
#thunderstorms
#americanbulldog
#thripsonrhododendrons
#fertiliseronpasture 
#kawakawa
#cymbidiumorchids
#curingbacon
#tui
#cruciateligament
#cruciatesurgeryrecovery
#boronia
#glutenfreecinnamonrolls
#diypicnictable",2021-04-10 17:09:35
