image url,date taken,image size,account,description,date accessed
https://live.staticflickr.com/65535/50963324801_914bed06a6_c.jpg,2020-01-31 17:56:23,"[533, 800]",Chambershines (63168435@N00),"Title: 
Description: ",2021-04-05 16:34:04
https://live.staticflickr.com/65535/51065238733_25e16d5a18_c.jpg,2020-01-13 20:03:12,"[800, 800]",minimin@TPE (51411665@N00),"Title: 
Description: ",2021-04-05 16:34:06
https://live.staticflickr.com/65535/51090024002_b99f985eb0_o.jpg,2020-02-26 15:35:47,"[3024, 3024]",sean.stokes (192677648@N04),"Title: PEZ
Description: PEZ photos",2021-04-05 16:34:07
https://live.staticflickr.com/65535/51077565186_2cc14026af_o.jpg,2020-09-18 19:40:55,"[1391, 2085]",neil.gilmour (122483654@N07),"Title: Moon over Longwood Gardens
Description: An beautiful evening last fall at Longwood Gardens last fall just before the evening water show.  Delightfully beautiful place.",2021-04-05 16:34:09
https://live.staticflickr.com/65535/50997818605_4690c4b7ed_o.jpg,2020-04-12 06:51:48,"[1944, 1458]",hand.pecked (38546510@N07),"Title: 
Description: ",2021-04-05 16:34:11
https://live.staticflickr.com/65535/50842518357_b638a141b6_o.jpg,2020-07-07 09:19:15,"[3840, 5120]",Trajanko (191826104@N08),"Title: Citroen XM
Description: This XM was pictured at a retirement home parking lot in Maribor, Slovenia. Had a bit of rust in some spots. Picture taken in July 2020.",2021-04-05 16:34:13
https://live.staticflickr.com/65535/51029168712_a7f7a6126c_c.jpg,2020-01-16 15:30:50,"[534, 800]",CANDO Newcastle (187455968@N05),"Title: Work Created by Skimstone Arts
Description: A collective response to the CANDO research project by members of the Skimstone Arts group.

Credit and Copyright ©: Colin Davison
+44 (0)7850 609 340
colin@rosellastudios.com
<a href=""http://www.rosellastudios.com"" rel=""noreferrer nofollow"">www.rosellastudios.com</a>",2021-04-05 16:34:15
https://live.staticflickr.com/65535/50747137073_67b8d73c8b_o.jpg,2020-02-16 02:50:40,"[553, 415]",misterbehaving2 (190919648@N06),"Title: That fat slut Jenny Lloyd  Jenny
Description: ",2021-04-05 16:34:17
https://live.staticflickr.com/65535/51092142017_9e6e1b43b2_c.jpg,2020-01-24 14:23:51,"[534, 800]",Sébastien Duhamel (51444733@N07),"Title: Mobilisation contre le projet de réforme des Retraites Acte 13 à Paris le 24 janvier 2020 IMG200124_098_©2020 | Fichier Flickr 1000x667Px Fichier d'impression 5610x3740Px-300dpi
Description: Flickr → If you want the HD file of this photo, contact 
sip-images-production@orange.fr
___________________________________________________ 

Pour une visualisation d’une page galerie, placez la souris sur le bouton en haut à gauche de la fenêtre flickr <a href=""https://www.flickr.com/photos/sebastienduhamel/51092591358/in/photostream//"">www.flickr.com/photos/sebastienduhamel/51092591358/in/pho...</a>
___________________________________________________

Reportages “Mouvements sociaux et Gilets jaunes” <a href=""https://www.flickr.com/photos/sebastienduhamel/collections/72157710719021122/"">www.flickr.com/photos/sebastienduhamel/collections/721577...</a>

Reportages “Mobilisations pour le Climat” <a href=""https://www.flickr.com/photos/sebastienduhamel/collections/72157630043207220"">www.flickr.com/photos/sebastienduhamel/collections/721576...</a>

Reportages Politiques <a href=""https://www.flickr.com/photos/sebastienduhamel/collections/72157629647610300/"">www.flickr.com/photos/sebastienduhamel/collections/721576...</a>

[NB] Dans cette base flickr, les photos sont d’une résolution de 1000x667px.

Pour une visualisation optimale d’une page d’album, placez la souris sur le bouton du centre en haut à droite de la fenêtre flickr, puis cliquez sur le bouton.

Pour une visualisation pleine écran cliquez sur la photo et flèches de direction du clavier. 
____________________________________________________

Retraites en France <a href=""https://fr.wikipedia.org/wiki/Retraite_en_France"" rel=""noreferrer nofollow"">fr.wikipedia.org/wiki/Retraite_en_France</a>

Mouvement social <a href=""https://fr.wikipedia.org/wiki/Mouvement_social"" rel=""noreferrer nofollow"">fr.wikipedia.org/wiki/Mouvement_social</a>
____________________________________________________

Photographie de Sébastien Duhamel <a href=""http://www.sebastien-duhamel.com"" rel=""noreferrer nofollow"">www.sebastien-duhamel.com</a>

Galerie <a href=""https://www.flickr.com/photos/sebastienduhamel"">www.flickr.com/photos/sebastienduhamel</a>

Classeurs <a href=""https://www.flickr.com/photos/sebastienduhamel/collections"">www.flickr.com/photos/sebastienduhamel/collections</a>

Albums <a href=""http://www.flickr.com/photos/sebastienduhamel/sets"">www.flickr.com/photos/sebastienduhamel/sets</a>
____________________________________________________

[NB] Vous souhaitez partager cette photo sur vos réseaux ?
Copier-coller l'URL depuis la barre d'adresse. 
",2021-04-05 16:34:19
https://live.staticflickr.com/65535/51094489697_ff533e1647_o.jpg,2020-04-30 14:25:52,"[6048, 4024]",ztnr711014 (77358136@N07),"Title: DSC_4129
Description: ",2021-04-05 16:34:21
