image url,date taken,image size,dimensions,extension,location,account,description,date accessed
https://pbs.twimg.com/media/Eqy90-QW8AAD-GY?format=jpg&name=large,2021-01-03T09:11:53.000Z,8804385,"(1433, 2048)",JPEG,NA,Lena Ura@LenaUra5,"Illustration inspired by Yellow Treefrog and Cane Toad (mine looks more like baby size) 
#illustration #illustrationoffrog #frog #yellowtreefrog #dendropsophusmicrocephalus #toad #canetoad #bufomarinus #pencildrawing #drawing #dionaeamuscipul #amphibians",2021-04-11 21:51:25
https://pbs.twimg.com/media/ErtQHNgXUAAWcLQ?format=jpg&name=900x900,2021-01-14T16:49:41.000Z,1679433,"(622, 900)",JPEG,NA,Lisa Franks@LisaMarieFranks," Thursday’s Virtual Treasures Arriving @ Melksham Arcade! 
New Stock Available To Purchase Through Our Social Media Pages!! 
#antiques #silverjewellery #canetoad #cherootholder #sherry #cherub #fobs",2021-04-11 21:51:25
https://pbs.twimg.com/media/EsLaVi6U0AIKVFa?format=jpg&name=900x900,2021-01-20T13:22:55.000Z,1622445,"(748, 723)",JPEG,NA,MNA@HidariSimp,"Gini dehh lu TOLOL canetoad 

Nemu btw, (untung) bukan punya sendiri",2021-04-11 21:51:29
https://pbs.twimg.com/media/EuMrxFzWYAQcLCb?format=jpg&name=900x900,2021-02-14T15:50:05.000Z,1516908,"(809, 625)",JPEG,NA,MNH Naturalists@MNH_Naturalists,"When your Valentine’s day plans get canceled because of a pandemic: 
#AllDressedUpWithNowhereToGo #canetoad  KR",2021-04-11 21:51:33
https://pbs.twimg.com/media/Et7TZaMUcAASrsk?format=jpg&name=medium,2021-02-11T06:53:07.000Z,2430033,"(1200, 675)",JPEG,NA,"Parks and Wildlife Service, Western Australia@WAParksWildlife","This stowaway #canetoad made it from Queensland to Perth- hidden in a shoe in a suitcase that was opened this morning in a Perth hotel. If you are travelling from areas with cane toads, always check your luggage and goods https://bit.ly/2NbxX2W",2021-04-11 21:51:33
https://pbs.twimg.com/media/EvtZgbbU8AEwbcY?format=jpg&name=medium,2021-03-05T10:33:36.000Z,2880033,"(1200, 800)",JPEG,NA,Mark Kriedemann@KriedemannMark,"Realities of living in Northern NSW...
#photography #photographer #canetoad #pest #invasivespecies #lismore",2021-04-11 21:53:40
https://pbs.twimg.com/media/EvpddKsXAAYlsMd?format=jpg&name=medium,2021-03-04T16:12:15.000Z,3000033,"(1000, 1000)",JPEG,NA,Truffle Report@Truffle_Report,"From Australia to the Americas, Truffle Report takes a look at psychedelic amphibians and the substances they produce.

Full article: http://ow.ly/W7cB50DQ9sv
#toads #5meodmt #dmt #canetoad #kambo #amphibians #biology #chemistry #psychedelics #conservation #sustainability #trip",2021-04-11 21:53:40
https://pbs.twimg.com/media/ExPOk7aVkAQsTSI?format=jpg&name=medium,2021-03-24T10:28:57.000Z,4294833,"(1193, 1200)",JPEG,NA,G'ween Gal @psychobutchrant,Two big ones tonight... this is the biggest #canetoad #deepfreeze #NT #LovingLitchfield #IcalledhimScomo,2021-04-11 21:53:43
https://pbs.twimg.com/media/ExfJvudUcAIrVCn?format=jpg&name=large,2021-03-27T12:41:22.000Z,9437217,"(1536, 2048)",JPEG,NA,Bellicosa @aniblax,"Dear Twerps of the tropics. Is this a cane toad? Somehow, it’s in my bedroom!! What do I do with it? #canetoad #darwinlife",2021-04-11 21:53:43
https://pbs.twimg.com/media/ExiaafbXAAIf7vQ?format=jpg&name=medium,2021-03-28T03:53:01.000Z,2430033,"(1200, 675)",JPEG,NA,Reef HQ Aquarium@reefhqaquarium,"This is your ribbiting reminder that tomorrow is Toad's Day Out a hands on  community movement to humanely reduce #CaneToad numbers in our local habitats.

If you're participating, please remember to wear thick gloves to protect your skin from the toad's #poisonous glands.",2021-04-11 21:53:43
https://pbs.twimg.com/media/Ex5Vn0OWQAIV2-K?format=jpg&name=large,2021-04-01T14:43:21.000Z,9437217,"(1536, 2048)",JPEG,NA,Funfetti@chilifoo,Bowl girl #toad #canetoad,2021-04-11 21:53:47
https://pbs.twimg.com/media/EN1Pr0WX4AEfaIb?format=jpg&name=900x900,2020-01-09T10:14:21.000Z,1647033,"(610, 900)",JPEG,NA,Lisa Franks@LisaMarieFranks,"New Stock @ Melksham Arcade 
Vintage Taxidermy Bongo Playing Toad! £65. 
Who Doesn’t Want To Wake Up To This Everyday... #ribbit
#frog #canetoad #toad #taxidermy #bongos #drums #musician #music #band #rhythm #soul #deadstuff",2021-04-11 21:55:54
https://pbs.twimg.com/media/EQD08DCUwAAVb-r?format=jpg&name=medium,2020-02-06T02:42:41.000Z,3240033,"(1200, 900)",JPEG,NA,Melanie Woitas@MissWoitas,Privileged to hang with these cool cats today. Expanding our comprehension strategies AND checking out the globe  to find some invasive species locations. #canetoad #lionfish #burmesepython #literacy @IRIC_WC,2021-04-11 21:58:01
https://pbs.twimg.com/media/EPxEIs7UwAIpQlG?format=jpg&name=medium,2020-02-02T11:16:22.000Z,3877233,"(1077, 1200)",JPEG,NA,Dr. Brooke P Deak@Deakology,"""Hiya, I'm a #CaneToad! Australians brought me in from overseas because they thought I'd eat the cane beetles that threaten sugar cane crops, but I decided NOT to do that and instead just breed everywhere and wreak havoc on surrounding ecosystems. Ah, and I kill pets.""",2021-04-11 21:58:01
https://pbs.twimg.com/media/EQFJ7mqUwAA9Jk9?format=jpg&name=medium,2020-02-06T08:54:09.000Z,2430033,"(1200, 675)",JPEG,NA,Growth Point Ag@growthpointag,"Water rats can be great ... in their place. 
Here's what left of a Cane Toad  after a ""Rakali"" ... Australian Water Rat ... cut them open to eat their hearts and livers while avoiding the poisonous skin and glands.
#canetoad #Rakali",2021-04-11 21:58:01
https://pbs.twimg.com/media/ESy--OlUUAI9Wnu?format=jpg&name=900x900,2020-03-11T03:00:04.000Z,1486983,"(862, 575)",JPEG,NA,Remember The Wild@RTW_Aus,"Cane toads have been known for their harmful impacts on Australian #wildlife, but did you know they are also caught up in a serious case of mistaken identity? #CaneToad #endangeredspecies #frogs #toads
https://mobile.abc.net.au/news/2020-03-07/native-frog-confused-for-cane-toad-in-case-of-mistaken-identity/12032848…",2021-04-11 22:00:08
https://pbs.twimg.com/media/ESIVlUTWsAM3R8T?format=jpg&name=small,2020-03-02T20:15:10.000Z,891393,"(480, 619)",JPEG,NA,Gambler Lures@gamblerlures,"Josh has this week's #MondayMonster with an epic topwater bass caught on a Gambler Cane Toad!!!
#canetoad #topwater #bassfishing #heavycover #frogfishing",2021-04-11 22:00:08
https://pbs.twimg.com/media/ESs1KIqUYAAXJ6x?format=jpg&name=medium,2020-03-09T22:19:28.000Z,2359329,"(768, 1024)",JPEG,NA,LilDevilTan @LilDevilTan,There’s seriously something in the water .. I’m sure they were both the same size yesterday!!!! #teenagemutantninjatoad #dirtyshedwall #canetoad ,2021-04-11 22:00:08
https://pbs.twimg.com/media/ETvf9S0WkAAMzK7?format=jpg&name=small,2020-03-22T21:01:23.000Z,1228833,"(640, 640)",JPEG,NA,"Erim Gómez, PhD@erimgomez",I could only see one toad. Finally decided to look inside the pot and see it is hiding on top of the only toad I could see. #canetoad #toads #herpetofauna https://ift.tt/2WEpN5N,2021-04-11 22:00:12
https://pbs.twimg.com/media/EVGJ-ncXYAQNQF5?format=jpg&name=medium,2020-04-08T16:52:19.000Z,2359329,"(1024, 768)",JPEG,NA,"Erim Gómez, PhD@erimgomez","Amphibians are “toadally” cool!  Amanda, without the toads I’d be roommate less.  #toadally #toad #herpetology #herpetofauna #wildlife #charsmaticminifauna #canetoad #sapo #amfibio https://instagr.am/p/B-ugbyXjBPZ/",2021-04-11 22:00:15
https://pbs.twimg.com/media/EVH7Fq3UUAAB99C?format=jpg&name=small,2020-04-09T01:06:38.000Z,1040433,"(510, 680)",JPEG,NA,Hugh Possingham@HugePossum,"Each day I leave out a bucket of water to water plants in the morning, each day this introduced #canetoad uses it as a spa bath, and each day I release it (no thank you smile) because I just can’t kill an animal even if it is a noxious pest. Becoming old and soft.",2021-04-11 22:00:15
https://pbs.twimg.com/media/EV09MnyX0AAvvdO?format=jpg&name=medium,2020-04-17T18:58:39.000Z,4320033,"(1200, 1200)",JPEG,NA,Char Callin@ccbespokeart,"Introducing the Cane toad. Living between 5 and 10 years the female cane toad can lay up to 30,000 eggs up to twice a year
https://instagram.com/p/B_FeHQmhueN/?igshid=uac0hphhticz…
#artist #illustrator #wildlife #colour #bespokeart #oceana #australianart #australianwildlife #canetoad #childrensillustrator",2021-04-11 22:00:19
https://pbs.twimg.com/media/EXxHKmhXYAAkSrx?format=jpg&name=medium,2020-05-11T21:35:06.000Z,3456033,"(1200, 960)",JPEG,NA,Florida Invasive Species Partnership@Protect_Florida,"Monday's Creature Feature: Cane Toad
Learn more: https://ufwildlife.ifas.ufl.edu/frogs/canetoad.shtml…
#invasivespecies #Florida #canetoad",2021-04-11 22:00:23
https://pbs.twimg.com/media/EZH5DR3XkAchEnS?format=jpg&name=900x900,2020-05-28T18:00:23.000Z,1080033,"(800, 450)",JPEG,NA,New England Aquarium@NEAQ,"Have you ever picked up a #hamburger? 
How about a cane toad? 

When we hold our #CaneToad we place three fingers under their belly, one in front of their front leg and thumbs on their back, similar to how you would hold a hamburger! #NationalHamburgerDay #Toads",2021-04-11 22:00:26
https://pbs.twimg.com/media/EZra7rPWkAEWW04?format=jpg&name=medium,2020-06-04T15:35:08.000Z,3111153,"(1192, 870)",JPEG,NA,UF IFAS Wildlife@UFWildlife,"The @MiamiHerald covered a story about Florida's invasive cane toads, where WEC's Dr. Steve Johnson is featured in a video explaining how to identify them. http://ow.ly/EBoC50zYj5r
#UFwildlife #wildlife #canetoad #invasivespecies",2021-04-11 22:00:30
https://pbs.twimg.com/media/EZzwnd_U8AEngRZ?format=jpg&name=900x900,2020-06-06T06:26:54.000Z,1555233,"(720, 720)",JPEG,NA,Dr Marissa Parrott@drmparrott,Surveying turtles (and finding occasional crocodiles) on the cane toad front in far north Western Australia! Thinking of warmer times  @ProjectKimberle #conservation #nature #turtle #canetoad #WomenInSTEM #WomenInScience #Australia,2021-04-11 22:00:30
https://pbs.twimg.com/media/EZ6_uy6WkAAcQVy?format=jpg&name=medium,2020-06-07T16:10:14.000Z,3438033,"(1200, 955)",JPEG,NA,Michele Curton@NutWithACamera,Hey #nature Twitter and #sciencetwitter : is this a #bufo #toad / #canetoad ? I'm in central Fl. I looked at the info on the U of F Extension @UF_IFAS and it doesn't look like either toad. Ideas? #frogs,2021-04-11 22:00:30
